split,checkpoint,dev_sign,vwap_slope_sign,n,mean_ret_fwd60_bps,ci_lo,ci_hi,test_id
CONFIRM,14:00,pos,pos,116,0.12493785612106402,-3.0782414451492657,3.739860398225761,D4_14:00_pos_pos
DISCOVERY,14:00,neg,neg,290,-1.0658871396118004,-5.372765420908426,3.019665294838827,D4_14:00_neg_neg
DISCOVERY,14:00,neg,pos,16,2.6068816631222997,-8.816607669922925,13.687777066076293,D4_14:00_neg_pos
DISCOVERY,14:00,pos,neg,20,-7.701192597532213,-20.577071705596737,5.760390126888594,D4_14:00_pos_neg
DISCOVERY,14:00,pos,pos,284,-0.9090404959635675,-4.302798594091319,2.516703034863786,D4_14:00_pos_pos
CONFIRM,15:00,neg,neg,118,-1.472931545024855,-4.9446246791489585,1.5909644277581805,D4_15:00_neg_neg
CONFIRM,15:00,neg,pos,6,3.5574254516377675,-6.95866042612514,13.8598767826016,D4_15:00_neg_pos
CONFIRM,15:00,pos,neg,7,2.7159264450549165,-2.9272171710777055,9.499627621802208,D4_15:00_pos_neg
CONFIRM,15:00,pos,pos,119,1.7710221839954632,-1.5205762902719664,4.707095122354528,D4_15:00_pos_pos
DISCOVERY,15:00,neg,neg,288,-1.9646962191699215,-5.962030763347711,1.9759686461460104,D4_15:00_neg_neg
DISCOVERY,15:00,neg,pos,15,4.7911768910444685,-11.365018856996578,16.029279507900114,D4_15:00_neg_pos
DISCOVERY,15:00,pos,neg,25,-10.365897889924678,-22.09419928175209,0.4929333669187793,D4_15:00_pos_neg
DISCOVERY,15:00,pos,pos,282,0.7569986905659852,-2.9498769927485777,4.479256568245963,D4_15:00_pos_pos
CONFIRM,16:00,neg,neg,107,2.8037958836618695,-1.2551020782922278,7.992030067694218,D4_16:00_neg_neg
CONFIRM,16:00,neg,pos,5,-0.6879609253847008,-18.460350182565755,11.458526751771702,D4_16:00_neg_pos
CONFIRM,16:00,pos,neg,10,1.4964889029187582,-9.619034714048238,11.51589774696711,D4_16:00_pos_neg
CONFIRM,16:00,pos,pos,128,-0.05711208665360451,-2.6745719226258893,2.4910158648280274,D4_16:00_pos_pos
DISCOVERY,16:00,neg,neg,296,-0.7365176549740614,-5.146403084151603,3.753528330821908,D4_16:00_neg_neg
DISCOVERY,16:00,neg,pos,12,-2.3636824158218563,-17.364952026134453,11.043534888451621,D4_16:00_neg_pos
DISCOVERY,16:00,pos,neg,19,2.8433012101682453,-10.471406101546,16.702391969527284,D4_16:00_pos_neg
DISCOVERY,16:00,pos,pos,283,0.1395626521208438,-3.6483857102419317,3.8220330106175435,D4_16:00_pos_pos
