source,split,checkpoint,bucket,horizon_min,n,mean_bps,ci_lo,ci_hi,test_id,robust_type
M15_trim1pct,CONFIRM,14:00,"[0.05,0.15)",60,24,-0.9939116088209431,-9.708022006747527,7.9539368270675626,"D2_14:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"[0.15,+inf)",30,78,-1.70036875673188,-5.0810104581732585,1.8183501043033283,"D2_14:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,14:00,"[0.15,+inf)",60,78,-0.9497873757747402,-4.7135245818238785,2.7422000075117228,"D2_14:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"(-0.05,0.05)",30,30,-1.16859958898811,-6.4998982940943035,4.437522407705063,"D2_15:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"(-0.05,0.05)",60,30,-1.8171796966680582,-9.002231669479583,4.8122143439111715,"D2_15:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"(-0.15,-0.05]",30,38,-1.4993334368702305,-6.185081107517757,3.3972253102119607,"D2_15:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"(-0.15,-0.05]",60,38,-0.41073171051654905,-6.439045933115736,5.177085151717445,"D2_15:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"(-inf,-0.15]",30,68,0.26991556241769077,-2.791813835960613,3.220179510743178,"D2_15:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"(-inf,-0.15]",60,68,-1.6427407058343633,-5.937255364313311,2.9352339526972684,"D2_15:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"[0.05,0.15)",30,30,1.4320698116396433,-2.827118783949154,5.922518551091012,"D2_15:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"[0.05,0.15)",60,30,3.733018009537477,-1.6196864118849306,8.638082464832102,"D2_15:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"[0.15,+inf)",30,76,2.247719896135571,-0.6715306702271915,5.173850531037042,"D2_15:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,15:00,"[0.15,+inf)",60,76,2.0044176173270905,-1.9784589650591413,5.987310323019425,"D2_15:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"(-0.05,0.05)",30,38,3.550914315824398,0.8572290337254724,5.877442153305097,"D2_16:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"(-0.05,0.05)",60,38,1.8598894551105205,-2.8579516165930783,6.380711882443042,"D2_16:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"(-0.15,-0.05]",30,30,0.472060034839128,-2.8910622096917176,3.6240636208829864,"D2_16:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"(-0.15,-0.05]",60,30,1.4706191228925543,-3.8933798602122813,7.2515790525299115,"D2_16:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"(-inf,-0.15]",30,65,-0.06170289615360934,-2.98474485066317,2.8909132842259266,"D2_16:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"(-inf,-0.15]",60,65,3.1395933906863513,-4.005795249889053,11.306129709253337,"D2_16:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
