entry_date,exit_date,entry_price,exit_price,hold_days,gross_ret,exit_reason,net_ret
2006-01-17,2006-01-20,0.5435064305581737,0.5387594936423138,3,0.008733911227112645,rsi_cross,0.008566768369969786
2006-02-22,2006-02-23,0.5035474252228196,0.5002464829631661,1,0.0065553751132633176,rsi_cross,0.006399660827549032
2006-03-07,2006-03-09,0.5065638256246238,0.5045496220754161,2,0.00397620881578753,rsi_cross,0.0038147802443589582
2006-03-21,2006-03-23,0.5022605089300894,0.4998555249439631,2,0.004788319892498394,rsi_cross,0.004626891321069823
2006-03-27,2006-03-30,0.5063573303905724,0.5091494976929714,3,-0.005514223128250562,rsi_cross,-0.005681365985393419
2006-05-12,2006-05-16,0.48863433719480753,0.49045838827428034,2,-0.00373295722511946,rsi_cross,-0.0038943857965480313
2006-07-13,2006-07-18,0.49896860076539507,0.49518797046508706,3,0.007576890198118025,rsi_cross,0.007409747340975168
2006-08-25,2006-08-28,0.4817696190166896,0.479417934213423,1,0.004881347246566636,rsi_cross,0.00472563296085235
2006-09-11,2006-09-14,0.4842079393376627,0.48022728140700555,3,0.008220967909163601,rsi_cross,0.008053825052020742
2006-09-21,2006-09-26,0.4878087489019105,0.4875852301440614,3,0.00045820981758171175,rsi_cross,0.0002910669604388546
2006-11-13,2006-11-14,0.4748312805710563,0.47286398403670826,1,0.004143148555802889,rsi_cross,0.003987434270088603
2006-11-27,2006-11-29,0.47762525098897574,0.47696344828850334,2,0.0013856107881693447,rsi_cross,0.0012241822167407732
2006-12-19,2006-12-22,0.47045023465824254,0.46886805722595915,3,0.00336311328111627,rsi_cross,0.003195970423973413
2007-01-10,2007-01-11,0.4683457501293721,0.46623488823593917,1,0.004507058925697138,rsi_cross,0.004351344639982852
2007-02-12,2007-02-14,0.45646874243744445,0.4531932104306554,2,0.007175807897159436,rsi_cross,0.007014379325730865
2007-02-27,2007-03-06,0.4544470342757933,0.456184552343472,5,-0.0038233676020080765,rsi_cross,-0.004001939030579505
2007-06-22,2007-06-28,0.4077874026848533,0.4057499656750138,4,0.004996321603916942,rsi_cross,0.004823464461059799
2007-07-26,2007-07-30,0.39969538231855484,0.39437816777381285,2,0.013303167311811026,rsi_cross,0.013141738740382453
2007-11-12,2007-11-14,0.3657768398199259,0.3581392173387057,2,0.020880552429126675,rsi_cross,0.020719123857698103
2007-11-27,2007-11-28,0.3806399449289059,0.3706104583565435,1,0.026349012251553505,rsi_cross,0.02619329796583922
2007-12-14,2007-12-19,0.3683053319301451,0.36925229742913157,3,-0.002571142519234737,rsi_cross,-0.002738285376377594
2008-01-18,2008-01-24,0.36412367947166535,0.3643979071674546,4,-0.0007531168974981295,rsi_cross,-0.0009259740403552723
2008-03-10,2008-03-12,0.34333390832493815,0.3390878438768755,2,0.012367157292381581,rsi_cross,0.012205728720953008
2008-03-17,2008-03-18,0.34789792484276305,0.34292115484468977,1,0.01430525922315462,rsi_cross,0.014149544937440334
2008-04-01,2008-04-02,0.35250432473889143,0.3471400642928826,1,0.01521757342972252,rsi_cross,0.015061859144008233
2008-04-29,2008-04-30,0.34074211348408806,0.33691027422954467,1,0.011245569898486685,rsi_cross,0.011089855612772398
2008-05-08,2008-05-12,0.3375830304762705,0.33349533745652765,2,0.012108704083779953,rsi_cross,0.01194727551235138
2008-08-07,2008-08-20,0.3084472376688005,0.31439771405905004,9,-0.019291715611468474,rsi_cross,-0.019493144182897045
2009-03-30,2009-04-01,0.42161972314339635,0.41407283080698665,2,0.017899761140545478,rsi_cross,0.017738332569116905
2009-06-17,2009-06-19,0.35078118741654724,0.34714496055560434,2,0.010366082878398242,rsi_cross,0.010204654306969669
2009-07-06,2009-07-13,0.3479655615675577,0.35073821796485066,4,-0.007968191980845418,rsi_cross,-0.008141049123702561
2009-08-17,2009-08-19,0.3266706774453416,0.32210801485283486,2,0.013967162979512282,rsi_cross,0.01380573440808371
2009-08-26,2009-09-03,0.32572591723290706,0.32565392034092183,6,0.00022103519608407396,rsi_cross,3.674948179835968e-05
2009-10-20,2009-10-22,0.300820630085985,0.2981097665433832,2,0.009011561280976244,rsi_cross,0.00885013270954767
2009-11-03,2009-11-04,0.3023180222547236,0.2967713822852768,1,0.018347037097157903,rsi_cross,0.018191322811443617
2009-11-27,2009-12-01,0.2981789747354106,0.2954232443543226,2,0.009241866847028102,rsi_cross,0.009080438275599529
2009-12-08,2009-12-11,0.2981711897171323,0.2985466237369725,3,-0.001259122386023881,rsi_cross,-0.001426265243166738
2009-12-17,2009-12-21,0.30330163633968427,0.3024927213894623,2,0.002667031276138543,rsi_cross,0.0025056027047099714
2010-01-14,2010-01-29,0.2987721235600956,0.3163761170283474,10,-0.05892113781730002,timeout,-0.059128280674442875
2010-03-19,2010-03-23,0.2997649556271327,0.29721897392317276,2,0.00849325998975936,rsi_cross,0.008331831418330788
2010-05-05,2010-05-10,0.2952373233711972,0.29444998321304816,3,0.002666804281920343,rsi_cross,0.002499661424777486
2010-07-19,2010-07-20,0.28969232818116486,0.28870716109352607,1,0.0034007358559481338,rsi_cross,0.0032450215702338483
