thesis,market,stage,param_a_name,param_a,param_b_name,param_b,metric,point_bps,ci_lo_bps,ci_hi_bps,n,gate_pass,note
S2,WDO,H2,L,63,F,21,spread_up_minus_down_bps_per_day,-2.0022,-9.6694,5.4195,105,,
S2,WDO,DISCOVERY,L,126,F,5,spread_up_minus_down_bps_per_day,10.2446,3.921,17.32,914,,
S2,WDO,H1,L,126,F,5,spread_up_minus_down_bps_per_day,12.606,-0.3871,24.9376,470,,
S2,WDO,H2,L,126,F,5,spread_up_minus_down_bps_per_day,7.1617,-0.0347,14.3421,444,,
S2,WDO,CONFIRM,L,126,F,5,spread_up_minus_down_bps_per_day,3.5509,-7.8792,14.415,273,True,
S2,WDO,DISCOVERY_G3,L,126,F,5,spread_up_minus_down_bps_per_day_g3,7.9505,3.0033,13.3584,868,True,n_removed=46
S2,WDO,REAL_CHECK,L,126,F,5,spread_up_minus_down_bps_per_day,5.7642,-8.9726,20.4848,147,True,
S2,WDO,DISCOVERY,L,126,F,21,spread_up_minus_down_bps_per_day,10.2671,4.287,16.9727,217,,
S2,WDO,H1,L,126,F,21,spread_up_minus_down_bps_per_day,12.0052,1.4392,24.0174,112,,
S2,WDO,H2,L,126,F,21,spread_up_minus_down_bps_per_day,7.7177,0.0008,15.4888,105,,
S2,WDO,CONFIRM,L,126,F,21,spread_up_minus_down_bps_per_day,8.3435,-1.5515,18.916,65,True,
S2,WDO,DISCOVERY_G3,L,126,F,21,spread_up_minus_down_bps_per_day_g3,6.5579,1.7853,11.5025,206,True,n_removed=11
S2,WDO,REAL_CHECK,L,126,F,21,spread_up_minus_down_bps_per_day,6.9323,-3.9801,18.4137,35,True,
S2,WDO,DISCOVERY,L,252,F,5,spread_up_minus_down_bps_per_day,0.2792,-6.1595,6.8364,889,,
S2,WDO,H1,L,252,F,5,spread_up_minus_down_bps_per_day,-2.75,-15.2594,9.5457,445,,
S2,WDO,H2,L,252,F,5,spread_up_minus_down_bps_per_day,1.4864,-6.1969,9.306,444,,
S2,WDO,DISCOVERY,L,252,F,21,spread_up_minus_down_bps_per_day,0.4164,-6.3012,7.1442,211,,
S2,WDO,H1,L,252,F,21,spread_up_minus_down_bps_per_day,-2.5663,-13.3481,8.1647,106,,
S2,WDO,H2,L,252,F,21,spread_up_minus_down_bps_per_day,1.7199,-5.5276,9.3189,105,,
S3,WDO,DISCOVERY,P,3,F,3,spread_Q1_minus_Q5_bps_per_day,-2.2716,-13.866,9.2929,626,,
S3,WDO,H1,P,3,F,3,spread_Q1_minus_Q5_bps_per_day,-7.3235,-24.8905,10.3018,330,,
S3,WDO,H2,P,3,F,3,spread_Q1_minus_Q5_bps_per_day,7.7526,-5.3277,21.0847,296,,
S3,WDO,DISCOVERY,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,-1.2477,-12.6773,10.3446,376,,
S3,WDO,H1,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,5.7739,-14.6335,23.1427,198,,
S3,WDO,H2,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,-6.7586,-18.3753,5.1092,178,,
S3,WDO,DISCOVERY,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,3.647,-8.0698,15.3279,626,,
S3,WDO,H1,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,-1.035,-18.0945,15.1723,330,,
S3,WDO,H2,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,9.1814,-5.65,23.6819,296,,
S3,WDO,DISCOVERY,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,-6.2952,-15.8492,4.2089,376,,
S3,WDO,H1,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,-11.412,-28.3725,3.6793,198,,
S3,WDO,H2,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,-2.7113,-15.5787,10.2697,178,,
S4_TOM,WDO,DISCOVERY,,,,,diff_tom_minus_nontom_bps,-8.7891,-16.2604,-2.1922,4698,,
S4_TOM,WDO,H1,,,,,diff_tom_minus_nontom_bps,-18.1572,-28.0934,-7.9727,2475,,
S4_TOM,WDO,H2,,,,,diff_tom_minus_nontom_bps,1.6188,-7.4269,10.9818,2223,,
S4_DOW,WDO,DISCOVERY,weekday,Mon,,,mean_ret_bps,-3.7543,-9.8454,2.2876,935,,
S4_DOW,WDO,DISCOVERY,weekday,Tue,,,mean_ret_bps,-2.1231,-7.9135,3.3457,937,,
S4_DOW,WDO,DISCOVERY,weekday,Wed,,,mean_ret_bps,1.9457,-4.1921,8.4653,957,,
S4_DOW,WDO,DISCOVERY,weekday,Thu,,,mean_ret_bps,-1.7216,-7.7494,5.4306,935,,
S4_DOW,WDO,DISCOVERY,weekday,Fri,,,mean_ret_bps,-5.3253,-11.6543,1.0495,934,,
S4_DOW,WDO,DISCOVERY,spread,Wed-Fri,,,spread_best_minus_worst_bps,7.271,-1.5807,17.1836,1891,,
S4_DOW,WDO,H1,best_day,Wed,,,mean_ret_bps,3.9847,,,506,,
S4_DOW,WDO,H1,worst_day,Thu,,,mean_ret_bps,-8.495,,,491,,
S4_DOW,WDO,H2,best_day,Thu,,,mean_ret_bps,5.7688,,,444,,
S4_DOW,WDO,H2,worst_day,Fri,,,mean_ret_bps,-3.4357,,,442,,
