test,asset,grid,tf,split,n_round,n_placebo,efeito_round,efeito_placebo,diff,ci_lo,ci_hi,primary_horizon_min,hold_rate_round,hold_rate_placebo,fwd_short_round,fwd_short_placebo,fwd_long_round,fwd_long_placebo,range_horizon_min,fwd_vshort_round,fwd_vshort_placebo,range_v_atr_round,range_v_atr_placebo,range_v_atr_diff,range_v_atr_ci_lo,range_v_atr_ci_hi,n_bars,n_days,ks_stat,ks_pvalue,mean_dist_atr_round,mean_dist_atr_placebo,fwd1_round,fwd1_placebo,fwd3_round,fwd3_placebo,n_discarded_rollover_round,n_discarded_rollover_placebo,bps_test,gate1_threshold,gate3_threshold,gate1,gate2,gate3,gate4_coherent
T1_bounce,WIN,g1000,H1,confirm,118,115,0.25668717087175186,-3.0952486316830505,3.3519358025548023,-4.274563237206542,10.356636666903404,120.0,0.3135593220338983,0.2782608695652174,-1.3027270953674577,-0.31395227505750245,0.9821817168873216,-6.188639343601342,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WDO,g5,M5,discovery,1736,1759,0.5908896806815831,0.9559283700425846,-0.3650386893610015,-1.6483368190494025,1.0231127027859444,30.0,0.44182027649769584,0.4394542353610006,0.40683432218053084,0.5362522390585593,0.9951833866095735,1.3867354217595467,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,True,True,True
T1_bounce,WDO,g5,M5,confirm,1845,1831,-0.6005224386960434,-0.4855432642804668,-0.11497917441557659,-1.5531171174110472,1.1370501847360353,30.0,0.44878048780487806,0.4341889677771709,0.12664741143887376,0.2319700125604683,-0.5923435504833905,-0.12039910023947163,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WDO,g10,M5,discovery,859,877,0.581564036998552,0.6000239200472884,-0.01845988304873647,-1.8140657172482597,1.9140964889292131,30.0,0.4307334109429569,0.4526795895096921,0.4824984956859315,0.3327231191689697,0.6095743938811872,1.372877941630878,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,True,True,True
T1_bounce,WDO,g10,M5,confirm,915,930,-0.7227303685263403,-0.48028560450817004,-0.24244476401817028,-2.034019947971719,1.6605700789528144,30.0,0.4426229508196721,0.45483870967741935,-0.523274798276984,0.7660870048689918,-0.1447326538310754,-1.0327349165445396,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WDO,g5,M15,discovery,4205,4189,0.2029373353116667,0.417166356757469,-0.2142290214458023,-1.113574068070505,0.7267213604711601,30.0,0.40309155766944116,0.4017665313917403,0.1968459846822124,0.30447726999249003,0.29959217702759894,0.6031765362838504,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,False,True,True
T1_bounce,WDO,g5,M15,confirm,1462,1442,-0.5181069662381783,0.06921636535831914,-0.5873233315964974,-1.9114524999043538,0.6964192981905427,30.0,0.39398084815321477,0.39875173370319,0.19271728830307538,0.47383484036113177,-0.29675159728186634,0.18915322813184093,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WDO,g10,M15,discovery,2110,2095,0.07315379309297616,0.333650115302806,-0.2604963222098299,-1.612842658440617,1.0620496738346061,30.0,0.3938388625592417,0.4124105011933174,0.04049856751560236,0.35431283442996775,-0.08022558109163953,0.6821293940355195,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,False,True,True
T1_bounce,WDO,g10,M15,confirm,727,735,-0.4430983704206876,-0.5922991419651383,0.14920077154445072,-1.7407267653392848,2.219917920542629,30.0,0.38651994497936726,0.4013605442176871,-0.08268997730655192,0.4651269238108292,0.29889404314852247,-0.8859140198572297,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,False
T1_bounce,WDO,g5,H1,discovery,2121,2099,1.5146830343737128,1.3005878572580958,0.21409517711561699,-1.701337209504264,2.1781916239850356,120.0,0.29938708156529936,0.3053835159599809,0.8739519795093643,0.7314132259062167,1.195403437729468,0.8550792235789749,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,True,True,True
T1_bounce,WDO,g5,H1,confirm,762,732,-0.9579864767052509,-0.42199557948229016,-0.5359908972229608,-3.5696121649437336,2.1158685666953834,120.0,0.2926509186351706,0.28005464480874315,-0.3211689068844186,0.02946112871320702,-1.2273578924289892,-1.1083651875044636,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T1_bounce,WDO,g10,H1,discovery,1071,1050,1.5376960149078958,1.4912097942288463,0.046486220679049506,-2.685221460731413,2.737435072866059,120.0,0.3081232492997199,0.2904761904761905,1.0213356478418245,0.7236206378102551,1.1725634624901042,1.2187002124736186,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,False,True,False
T1_bounce,WDO,g10,H1,confirm,369,393,0.22573123229572872,-2.069416081339758,2.2951473136354865,-1.9942619962213182,6.533916919407487,120.0,0.2872628726287263,0.29770992366412213,-0.16994696269310733,-0.4631559231861845,0.6524357227169869,-2.9923549509248284,,,,,,,,,,,,,,,,,,,,,True,6.0,150,False,,,True
T2_cascade,WIN,g500,M5,discovery,564,573,-2.6305779770505544,-1.6839034821115033,-0.9466744949390511,-4.44006597605024,3.040476652055038,30.0,,,-2.659633571347647,-1.8851191208395641,-1.6836924812346938,-0.5064344793249334,15.0,-1.8610573040162322,-0.8575181758439812,0.2686358370716217,0.2633107084496432,0.005325128621978481,-0.013754429665025393,0.02544786623382715,,,,,,,,,,,,,True,6.0,150,False,False,True,True
T2_cascade,WIN,g500,M5,confirm,450,447,-0.6896963374598823,0.22897869537437665,-0.918675032834259,-3.7840215274043865,1.992775274043687,30.0,,,-0.08718246807682568,0.01174335715972702,-0.6709969190879452,-0.9269821319631386,15.0,0.5651174381903706,0.42616767753787016,0.2722508453876271,0.25881392793469543,0.013436917452931685,-0.013040951131769072,0.038353270027116096,,,,,,,,,,,,,True,6.0,150,False,,,True
T2_cascade,WIN,g1000,M5,discovery,287,277,-4.938690934983924,-0.23913964157446171,-4.6995512934094625,-10.062469952395091,0.956554857664003,30.0,,,-3.7295171143803487,-1.5511260736928263,-3.4563936062969183,0.15300507433519264,15.0,-2.536534963117639,-1.1611941698570127,0.26542768258886096,0.27195980940574555,-0.006532126816884587,-0.0348223858098744,0.021859337156083236,,,,,,,,,,,,,True,6.0,150,False,False,True,True
T2_cascade,WIN,g1000,M5,confirm,224,226,-0.7930790014345896,-0.5872285643168101,-0.2058504371177795,-4.585800951608889,3.96853724009908,30.0,,,0.43217492183113354,-0.6019437748882549,-1.225220926010453,-0.121677549394841,15.0,0.5204154400359233,0.6094238434407958,0.2716549545115324,0.2728414628931371,-0.0011865083816047228,-0.03891717032606595,0.03758359188781148,,,,,,,,,,,,,True,6.0,150,False,,,True
T2_cascade,WIN,g500,M15,discovery,1330,1324,-0.2938073000469328,0.5065884127774175,-0.8003957128243503,-3.20430800734715,1.6179130780505369,30.0,,,0.3363691096158616,0.47420372815403095,-0.22477399304003626,0.2121794266625364,15.0,0.0,0.0,0.3211590668766953,0.3248720158771667,-0.003712949000471366,-0.018393417622026866,0.010112664135668295,,,,,,,,,,,,,True,6.0,150,False,False,True,True
T2_cascade,WIN,g500,M15,confirm,404,416,-0.952671904333886,-0.43838955697622384,-0.5142823473576622,-3.091859578844387,2.4434832286814134,30.0,,,-1.2414001771484007,-0.119021004439155,-0.9394079667258602,-1.1296336816314887,15.0,0.0,0.0,0.337775471734379,0.33692175463319063,0.0008537171011883671,-0.031078918077889522,0.03547482834773539,,,,,,,,,,,,,True,6.0,150,False,,,True
