config_id,asset,arm,tf,family,split,n_trades,win_rate,pf_gross,pf_net2,pf_net4,pf_net6,exp_gross_bps,exp_net6_bps,avg_hold_bars,pf_net6_ex_top2,pf_net6_ex_top3,pior_ano_pf_net6,max_dd_bps
WIN_A_G2_T3,WIN,A,M15,G2_T3,discovery,548,0.34306569343065696,0.8636722505624381,0.793298897180397,0.729748832024677,0.6721078515174761,-3.3631753455919053,-9.363175345591905,9.768248175182482,0.6331144520264256,0.617931131458618,0.5636554859339737,5904.206419753196
WIN_A_G2_T3,WIN,A,M15,G2_T3,confirm,192,0.3802083333333333,1.141563937740869,0.9847136395396069,0.8527724617998602,0.7408574685695651,1.788956255079395,-4.211043744920604,11.270833333333334,0.6720847564978307,0.6422648612837806,0.7408574685695651,816.9572762074356
WIN_A_G2_T4,WIN,A,M15,G2_T4,discovery,270,0.3962962962962963,0.8913634729931832,0.8392038453064173,0.7903433862934365,0.7446318793632548,-3.7837487745268104,-9.78374877452681,20.385185185185186,0.6960339239742892,0.6730651886742626,0.690694175114331,3156.5990220689455
WIN_A_G2_T4,WIN,A,M15,G2_T4,confirm,121,0.39669421487603307,0.7560374443446862,0.6834850207001093,0.6179119533962318,0.5590441707741792,-5.545882548628627,-11.545882548628628,21.94214876033058,0.47196137815217665,0.4330206511270746,0.5590441707741792,1530.0853596849458
WIN_A_G3_T1,WIN,A,M15,G3_T1,discovery,284,0.38380281690140844,1.002899692730334,0.9323547729927572,0.8674466248347373,0.807745898172732,0.07895795944876452,-5.921042040551236,13.084507042253522,0.7407404435372462,0.7135761391173705,0.6619116164863799,2416.6154121590853
WIN_A_G3_T1,WIN,A,M15,G3_T1,confirm,130,0.3923076923076923,1.13884398064093,1.000393688262562,0.8808224995990611,0.7771438651457033,2.006130682885961,-3.993869317114039,15.13076923076923,0.673057457768589,0.6303340034599597,0.7771438651457033,799.743074573548
WIN_A_G3_T2,WIN,A,M15,G3_T2,discovery,100,0.47,0.9942685857662332,0.9371291817945925,0.883341263040588,0.8326450397300404,-0.19405306052179316,-6.194053060521793,16.08,0.7133610351034219,0.6650648884356554,0.5535746938479834,1137.5778631517537
WIN_A_G3_T2,WIN,A,M15,G3_T2,confirm,48,0.4166666666666667,0.8267978976432103,0.7388430578444928,0.6603859114069278,0.5899668694628826,-3.3384456393160953,-9.338445639316097,19.145833333333332,0.427887120984728,0.3812636436661274,0.5899668694628826,586.0319292364405
WIN_A_G3_T3,WIN,A,M15,G3_T3,discovery,577,0.3483535528596187,0.8745854264043027,0.80299781027364,0.7383553882143064,0.6797241252565908,-3.0676400507985835,-9.067640050798582,9.956672443674178,0.6423717746362083,0.6278274486519972,0.5473620178358125,5954.189522091203
WIN_A_G3_T3,WIN,A,M15,G3_T3,confirm,210,0.38095238095238093,1.3256566206195726,1.139619530668292,0.9839774327676337,0.85303849551131,3.777141028147032,-2.222858971852968,12.219047619047618,0.7693705454532864,0.737140527119084,0.85303849551131,503.2055042715475
WIN_A_G3_T4,WIN,A,M15,G3_T4,discovery,261,0.40229885057471265,0.9087275536650665,0.8587313622135345,0.8116827599479327,0.7674836359176348,-3.3579758518891865,-9.357975851889186,20.865900383141764,0.7196259748191401,0.6968370821832912,0.6870037432271365,3140.87647422762
WIN_A_G3_T4,WIN,A,M15,G3_T4,confirm,117,0.42735042735042733,0.8851053163075772,0.7995085198141307,0.7221830163860633,0.6522997449409226,-2.399181061730229,-8.399181061730228,21.99145299145299,0.5546812810669459,0.5110293282543319,0.6522997449409226,1162.6391158992064
WIN_A_G4_T1,WIN,A,M15,G4_T1,discovery,284,0.3274647887323944,0.8525087997594283,0.788595605854002,0.7304395677791666,0.6773889833628206,-3.966033631728338,-9.966033631728338,13.633802816901408,0.6165413380346979,0.5893143130767876,0.4937840624233589,3119.333478510615
WIN_A_G4_T1,WIN,A,M15,G4_T1,confirm,114,0.39473684210526316,1.0917991262107412,0.9757258789105232,0.8732757052456136,0.7829011667545842,1.5603186627118533,-4.439681337288147,14.710526315789474,0.6538199247318041,0.6111246505629551,0.7829011667545842,558.1535237641391
WIN_A_G4_T2,WIN,A,M15,G4_T2,discovery,78,0.3974358974358974,0.9348190669411504,0.8799359566448182,0.8287055456143635,0.7807749241603733,-2.2034223109236044,-8.203422310923605,17.82051282051282,0.6609364353371064,0.6061167691237981,0.44708321076850116,1114.9251929335258
WIN_A_G4_T2,WIN,A,M15,G4_T2,confirm,43,0.5116279069767442,1.4271185416995278,1.299846410889564,1.185024806421299,1.080911945909742,7.694761356755861,1.6947613567558593,19.069767441860463,0.7891276151193719,0.6750494201732472,1.080911945909742,254.47967638775475
WIN_A_G4_T3,WIN,A,M15,G4_T3,discovery,496,0.34274193548387094,0.7769705136729513,0.7119239895192578,0.6531012479883274,0.5997629684480775,-5.595770147903002,-11.595770147903002,10.88508064516129,0.5622092179462035,0.5462530386550674,0.5057327833085029,6003.826254598216
WIN_A_G4_T3,WIN,A,M15,G4_T3,confirm,178,0.3707865168539326,1.106941160917378,0.9602565756696252,0.836054182209222,0.7301266054652473,1.4239821198288498,-4.576017880171151,12.47752808988764,0.6399191582999034,0.6027459519521154,0.7301266054652473,780.6902756359722
WIN_A_G4_T4,WIN,A,M15,G4_T4,discovery,248,0.3709677419354839,0.917312639779217,0.8613390764548041,0.80920752730551,0.7607752189926785,-2.7123682610228372,-8.712368261022837,20.153225806451612,0.7067900079021303,0.680483832005423,0.5958569264100714,2277.572994537812
WIN_A_G4_T4,WIN,A,M15,G4_T4,confirm,94,0.3723404255319149,0.975806512575015,0.8904943734074082,0.8137147903936439,0.744686129799905,-0.5324063098542757,-6.532406309854276,22.77659574468085,0.6149580083827094,0.5608350362445815,0.744686129799905,704.9221791510242
WIN_B_B1_m15_ema9x100,WIN,B,M15,B1_m15_ema9x100,discovery,506,0.308300395256917,0.9632444208541674,0.9202828825023316,0.8798457020476002,0.8417428571410028,-1.6193304580684738,-7.619330458068473,44.12450592885376,0.7868991648074302,0.7622643193553131,0.4133751601386329,4385.375744391873
WIN_B_B1_m15_ema9x100,WIN,B,M15,B1_m15_ema9x100,confirm,204,0.29411764705882354,0.9246782676627519,0.865796433073263,0.8118281917161488,0.7622319852922201,-2.3274354328730555,-8.327435432873056,45.75,0.685779800121769,0.6525570351681839,0.7622319852922201,1782.317329305216
WIN_B_B2_m15_ema21x100,WIN,B,M15,B2_m15_ema21x100,discovery,371,0.3692722371967655,1.0705601562001514,1.029794890596139,0.9909557097204958,0.9539283492829453,3.5256167905364215,-2.4743832094635785,60.18867924528302,0.8728275579373678,0.8413837013085282,0.5193624160505735,2993.057988654925
WIN_B_B2_m15_ema21x100,WIN,B,M15,B2_m15_ema21x100,confirm,152,0.3684210526315789,0.9146044413568551,0.864494316508005,0.817504986003156,0.7735171567716208,-3.1304439546022294,-9.130443954602228,60.86842105263158,0.6457535689759689,0.6082565790194517,0.7735171567716208,1588.7655603750413
WIN_B_B3_h1_ema9x21,WIN,B,H1,B3_h1_ema9x21,discovery,329,0.4072948328267477,1.106152678485366,1.0668841504471713,1.0292355081896654,0.9931427493510274,5.613473619427984,-0.3865263805720163,67.86018237082067,0.9012582731307613,0.865704180848829,0.5245049954954016,2529.828764989559
WIN_B_B3_h1_ema9x21,WIN,B,H1,B3_h1_ema9x21,confirm,148,0.3310810810810811,0.7859487425311874,0.7448748151682117,0.7063739700383422,0.6703052508186695,-8.715631334831375,-14.715631334831375,62.5,0.552727361357942,0.522512466051251,0.6703052508186695,2425.1135355101005
WIN_B_B4_h1_ema21x50,WIN,B,H1,B4_h1_ema21x50,discovery,198,0.3838383838383838,0.8168416832805926,0.7946740554610933,0.7731961440444682,0.7523868539396226,-14.491592398525583,-20.49159239852558,112.94949494949495,0.6269668165003723,0.574578654803871,0.5779010081913966,6022.556211445934
WIN_B_B4_h1_ema21x50,WIN,B,H1,B4_h1_ema21x50,confirm,86,0.36046511627906974,0.9786300243263872,0.9393079966187532,0.9018366608476686,0.8661797941948033,-1.0470340618844252,-7.047034061884425,107.11627906976744,0.6571279697923097,0.5901179729080259,0.8661797941948033,1590.3739756085429
WIN_B_B5_h1_macd,WIN,B,H1,B5_h1_macd,discovery,540,0.3814814814814815,1.0212134478075163,0.9793689319614893,0.9395632184807978,0.901697090086394,1.0013829063392667,-4.998617093660733,41.44444444444444,0.8500598208648916,0.8292976261893538,0.6789799030238424,3007.8721074733503
WIN_B_B5_h1_macd,WIN,B,H1,B5_h1_macd,confirm,230,0.391304347826087,0.9792276857831652,0.9180173205480842,0.8612460720649849,0.808476115939341,-0.6457506482561495,-6.64575064825615,40.93043478260869,0.7262318126743293,0.69648949241144,0.808476115939341,1453.0817850842736
