date,year,weekday,open_0900,close_0915,close_prev_day,ret_first,ret_on_first,ret_on,ret_last,ret_last_method,vol_prev_range_pct,vol_tercile
2021-11-16,2021,Tuesday,107210.0,107200.0,106940.0,-9.327488107457871e-05,0.0024312698709556546,0.002524780250607872,-0.0019008696478638454,standard_1815_1745,0.021889400921658985,high
2021-11-17,2021,Wednesday,104800.0,105655.0,105000.0,0.008158396946564839,0.006238095238095154,-0.0019047619047618536,0.0019338619222588616,standard_1815_1745,0.028169014084507043,high
2021-11-18,2021,Thursday,103800.0,103755.0,103700.0,-0.00043352601156065873,0.0005303760848602845,0.0009643201542912649,0.0021878646441073624,standard_1815_1745,0.03101145038167939,high
2021-11-19,2021,Friday,103025.0,103215.0,103450.0,0.001844212569764636,-0.0022716288061865875,-0.004108264862252242,-0.0003860444916277128,standard_1815_1745,0.017341040462427744,mid
2021-11-22,2021,Monday,104310.0,103685.0,103600.0,-0.005991755344645799,0.0008204633204633716,0.006853281853281823,-0.0026708104695770674,standard_1815_1745,0.017908274690609075,mid
2021-11-23,2021,Tuesday,102700.0,102985.0,102400.0,0.0027750730282376512,0.005712890624999911,0.0029296875,0.002984787213556661,standard_1815_1745,0.026124053302655544,high
2021-11-24,2021,Wednesday,104000.0,103735.0,104500.0,-0.002548076923076903,-0.007320574162679394,-0.004784688995215336,-9.536070185478529e-05,standard_1815_1745,0.02356377799415774,high
2021-11-25,2021,Thursday,104750.0,105385.0,104900.0,0.006062052505966697,0.004623450905624438,-0.0014299332697806921,0.0006115632497529777,standard_1815_1745,0.026298076923076924,high
2021-11-26,2021,Friday,103100.0,103580.0,106435.0,0.004655674102812757,-0.026823883121153802,-0.031333677831540396,-0.0017526777020447915,standard_1815_1745,0.021957040572792363,high
2021-11-29,2021,Monday,103615.0,103920.0,102360.0,0.002943589248660894,0.015240328253223856,0.012260648690894937,0.0004361310331459922,standard_1815_1745,0.02162948593598448,high
2021-11-30,2021,Tuesday,102350.0,102935.0,103320.0,0.005715681485100044,-0.0037262872628726074,-0.009388308168795989,0.0018595546855884049,standard_1815_1745,0.015779568595280607,mid
2021-12-01,2021,Wednesday,103215.0,103390.0,102560.0,0.0016954899966090675,0.008092823712948505,0.00638650546021835,-0.005950624569686203,standard_1815_1745,0.029311187103077674,high
2021-12-02,2021,Thursday,101580.0,102195.0,100800.0,0.0060543414057885325,0.01383928571428572,0.007738095238095211,0.0031663788140472438,standard_1815_1745,0.03521774935813593,high
2021-12-03,2021,Friday,104385.0,104075.0,104750.0,-0.002969775350864623,-0.00644391408114553,-0.00348448687350833,0.006099594948772991,standard_1815_1745,0.031994487103760585,high
2021-12-06,2021,Monday,106160.0,105980.0,105650.0,-0.0016955538809344528,0.003123521060104162,0.004827259820160856,-9.315323707503875e-05,standard_1815_1745,0.030416247545145374,high
2021-12-07,2021,Tuesday,108535.0,108780.0,107220.0,0.0022573363431150906,0.014549524342473363,0.012264502891251583,0.0027899190923463824,standard_1815_1745,0.019498869630746044,high
2021-12-08,2021,Wednesday,108470.0,108165.0,108000.0,-0.002811837374389281,0.0015277777777777946,0.00435185185185194,0.0012009237875287848,standard_1815_1745,0.015478877781360851,mid
