market,levels_source,x_bps,h_days,side,rt_cost_bps,n_trades,win_rate,pf,expectancy_bps,ci_lo_bps,ci_hi_bps,sharpe,maxdd_pct,net_ann_pct,monthly_mean_pct
WIN,M15_agg,10,3,short_sweep_high,2.0,148,52.03,1.0,-0.014,-29.777,31.277,-0.001,-25.13,-0.25,-0.0
WDO,M15_agg,5,1,long_sweep_low,1.0,161,50.93,0.967,-1.097,-13.867,12.41,-0.083,-13.06,-0.67,-0.042
WDO,M15_agg,5,1,long_sweep_low,1.5,161,50.93,0.953,-1.597,-15.026,10.868,-0.121,-13.31,-0.89,-0.061
WDO,M15_agg,5,1,long_sweep_low,2.0,161,50.31,0.938,-2.097,-16.24,11.473,-0.159,-13.56,-1.11,-0.08
WDO,M15_agg,5,1,short_sweep_high,1.0,167,49.1,0.856,-5.538,-19.436,9.111,-0.406,-14.13,-2.75,-0.22
WDO,M15_agg,5,1,short_sweep_high,1.5,167,49.1,0.845,-6.038,-20.533,7.374,-0.442,-14.28,-2.98,-0.24
WDO,M15_agg,5,1,short_sweep_high,2.0,167,48.5,0.833,-6.538,-19.964,6.746,-0.479,-14.42,-3.2,-0.26
WDO,M15_agg,5,3,long_sweep_low,1.0,161,50.93,1.055,3.016,-18.661,26.107,0.225,-22.68,1.18,0.116
WDO,M15_agg,5,3,long_sweep_low,1.5,161,50.93,1.046,2.516,-20.594,24.441,0.188,-22.83,0.95,0.096
WDO,M15_agg,5,3,long_sweep_low,2.0,161,50.93,1.036,2.016,-19.803,22.56,0.15,-22.98,0.73,0.077
WDO,M15_agg,5,3,short_sweep_high,1.0,166,52.41,1.156,9.05,-14.692,33.934,0.591,-17.36,4.02,0.358
WDO,M15_agg,5,3,short_sweep_high,1.5,166,52.41,1.147,8.55,-16.8,34.06,0.558,-17.55,3.78,0.338
WDO,M15_agg,5,3,short_sweep_high,2.0,166,52.41,1.138,8.05,-17.74,34.274,0.526,-17.74,3.54,0.318
WDO,M15_agg,10,1,long_sweep_low,1.0,136,50.74,0.929,-2.516,-18.463,13.297,-0.169,-12.95,-1.11,-0.081
WDO,M15_agg,10,1,long_sweep_low,1.5,136,50.74,0.916,-3.016,-18.048,12.235,-0.202,-13.19,-1.3,-0.098
WDO,M15_agg,10,1,long_sweep_low,2.0,136,50.0,0.903,-3.516,-18.157,11.794,-0.236,-13.43,-1.49,-0.114
WDO,M15_agg,10,1,short_sweep_high,1.0,141,50.35,0.944,-2.139,-18.468,13.64,-0.14,-10.03,-1.02,-0.072
WDO,M15_agg,10,1,short_sweep_high,1.5,141,50.35,0.932,-2.639,-18.412,13.476,-0.172,-10.15,-1.21,-0.089
WDO,M15_agg,10,1,short_sweep_high,2.0,141,49.65,0.919,-3.139,-18.839,12.867,-0.205,-10.27,-1.41,-0.105
WDO,M15_agg,10,3,long_sweep_low,1.0,136,50.0,0.985,-0.853,-23.992,23.737,-0.058,-23.01,-0.48,-0.028
WDO,M15_agg,10,3,long_sweep_low,1.5,136,50.0,0.976,-1.353,-25.487,22.88,-0.093,-23.15,-0.67,-0.044
WDO,M15_agg,10,3,long_sweep_low,2.0,136,50.0,0.968,-1.853,-25.492,23.681,-0.127,-23.29,-0.85,-0.06
WDO,M15_agg,10,3,short_sweep_high,1.0,140,54.29,1.169,9.848,-18.743,38.612,0.596,-12.87,3.71,0.328
WDO,M15_agg,10,3,short_sweep_high,1.5,140,54.29,1.16,9.348,-18.902,37.34,0.566,-12.92,3.51,0.312
WDO,M15_agg,10,3,short_sweep_high,2.0,140,54.29,1.151,8.848,-17.688,37.963,0.536,-12.98,3.31,0.295
