date,level,direction,entry_price,exit_price,exit_reason,gross_bps,net_bps_1.0,net_bps_1.5,net_bps_2.0
2021-10-27,PDL,long,107035.0,107249.07,tp,20.00000000000065,19.00000000000065,18.50000000000065,18.00000000000065
2021-10-28,PDL,long,106885.0,107098.77,tp,20.000000000000384,19.000000000000384,18.500000000000384,18.000000000000384
2021-10-29,PDL,long,104825.0,105034.65,tp,19.999999999999446,18.999999999999446,18.499999999999446,17.999999999999446
2021-11-03,PDL,long,105070.0,105280.14,tp,19.999999999999943,18.999999999999943,18.499999999999943,17.999999999999943
2021-11-03,PDH,short,106930.0,107197.325,stop,-24.999999999999726,-25.999999999999726,-26.499999999999726,-26.999999999999726
2021-11-04,PDL,long,104830.0,105039.66,tp,20.000000000000334,19.000000000000334,18.500000000000334,18.000000000000334
2021-11-08,PDH,short,106385.0,106172.23,tp,20.000000000000384,19.000000000000384,18.500000000000384,18.000000000000384
2021-11-09,PDH,short,106475.0,106262.05,tp,19.999999999999726,18.999999999999726,18.499999999999726,17.999999999999726
2021-11-10,PDL,long,105455.0,105665.91,tp,20.00000000000033,19.00000000000033,18.50000000000033,18.00000000000033
2021-11-10,PDH,short,107410.0,107195.18,tp,20.00000000000065,19.00000000000065,18.50000000000065,18.00000000000065
2021-11-11,PDH,short,108070.0,107853.86,tp,19.999999999999943,18.999999999999943,18.499999999999943,17.999999999999943
2021-11-12,PDL,long,107460.0,107191.35,stop,-24.99999999999946,-25.99999999999946,-26.49999999999946,-26.99999999999946
2021-11-16,PDL,long,106300.0,106034.25,stop,-25.0,-26.0,-26.5,-27.0
2021-11-17,PDL,long,104610.0,104819.22,tp,20.000000000000114,19.000000000000114,18.500000000000114,18.000000000000114
2021-11-18,PDL,long,102915.0,103120.83,tp,20.00000000000017,19.00000000000017,18.50000000000017,18.00000000000017
2021-11-19,PDH,short,104315.0,104106.37,tp,20.000000000000448,19.000000000000448,18.500000000000448,18.000000000000448
2021-11-22,PDH,short,104495.0,104756.23749999999,stop,-24.999999999998884,-25.999999999998884,-26.499999999998884,-26.999999999998884
2021-11-22,PDL,long,102650.0,102855.3,tp,20.00000000000028,19.00000000000028,18.50000000000028,18.00000000000028
2021-11-23,PDL,long,102400.0,102604.8,tp,20.00000000000028,19.00000000000028,18.50000000000028,18.00000000000028
2021-11-24,PDH,short,104560.0,104821.4,stop,-24.999999999999446,-25.999999999999446,-26.499999999999446,-26.999999999999446
2021-11-25,PDH,short,105540.0,105328.92,tp,20.000000000000167,19.000000000000167,18.500000000000167,18.000000000000167
2021-11-29,PDH,short,104000.0,103792.0,tp,20.0,19.0,18.5,18.0
2021-11-30,PDL,long,102880.0,102622.8,stop,-24.99999999999972,-25.99999999999972,-26.49999999999972,-26.99999999999972
2021-12-01,PDH,short,103390.0,103648.47499999999,stop,-24.999999999999154,-25.999999999999154,-26.499999999999154,-26.999999999999154
2021-12-02,PDH,short,104435.0,104226.13,tp,19.999999999999552,18.999999999999552,18.499999999999552,17.999999999999552
2021-12-03,PDH,short,104755.0,105016.8875,stop,-24.999999999999723,-25.999999999999723,-26.499999999999723,-26.999999999999723
