date,level,direction,entry_price,exit_price,exit_reason,gross_bps,net_bps_1.0,net_bps_1.5,net_bps_2.0
2024-02-23,PDL,long,131820.0,132083.64,tp,20.00000000000106,19.00000000000106,18.50000000000106,18.00000000000106
2024-02-26,PDL,long,130860.0,131121.72,tp,20.00000000000009,19.00000000000009,18.50000000000009,18.00000000000009
2024-02-28,PDL,long,131830.0,132093.66,tp,20.000000000000266,19.000000000000266,18.500000000000266,18.000000000000266
2024-02-29,PDL,long,131420.0,131091.45,stop,-24.999999999999115,-25.999999999999115,-26.499999999999115,-26.999999999999115
2024-03-01,PDL,long,130270.0,130530.54,tp,19.99999999999951,18.99999999999951,18.49999999999951,17.99999999999951
2024-03-04,PDL,long,130230.0,129904.425,stop,-24.999999999999776,-25.999999999999776,-26.499999999999776,-26.999999999999776
2024-03-05,PDL,long,129740.0,129999.48,tp,19.999999999999684,18.999999999999684,18.499999999999684,17.999999999999684
2024-03-06,PDH,short,130520.0,130258.96,tp,19.99999999999951,18.99999999999951,18.49999999999951,17.99999999999951
2024-03-07,PDL,long,129880.0,130139.76,tp,19.9999999999996,18.9999999999996,18.4999999999996,17.9999999999996
2024-03-12,PDH,short,128240.0,127983.52,tp,19.999999999999684,18.999999999999684,18.499999999999684,17.999999999999684
2024-03-13,PDH,short,129325.0,129066.35,tp,19.99999999999955,18.99999999999955,18.49999999999955,17.99999999999955
2024-03-14,PDL,long,128480.0,128736.96,tp,20.000000000000497,19.000000000000497,18.500000000000497,18.000000000000497
2024-03-15,PDL,long,128270.0,127949.32500000001,stop,-24.999999999999094,-25.999999999999094,-26.499999999999094,-26.999999999999094
2024-03-18,PDL,long,127460.0,127714.92,tp,19.99999999999986,18.99999999999986,18.49999999999986,17.99999999999986
2024-03-19,PDH,short,128580.0,128465.0,time,8.943848187898585,7.943848187898585,7.443848187898585,6.943848187898585
2024-03-20,PDH,short,128975.0,129070.0,time,-7.36576855979841,-8.365768559798411,-8.865768559798411,-9.365768559798411
2024-03-22,PDL,long,128830.0,128507.925,stop,-24.999999999999776,-25.999999999999776,-26.499999999999776,-26.999999999999776
2024-03-25,PDL,long,127625.0,127305.9375,stop,-25.0,-26.0,-26.5,-27.0
2024-03-26,PDL,long,127295.0,127549.59,tp,19.999999999999726,18.999999999999726,18.499999999999726,17.999999999999726
2024-03-27,PDL,long,127105.0,127359.21,tp,20.000000000000504,19.000000000000504,18.500000000000504,18.000000000000504
2024-03-27,PDH,short,127940.0,128259.84999999999,stop,-24.999999999999318,-25.999999999999318,-26.499999999999318,-26.999999999999318
2024-03-28,PDH,short,128480.0,128223.04,tp,20.000000000000497,19.000000000000497,18.500000000000497,18.000000000000497
2024-04-01,PDH,short,129015.0,128756.97,tp,19.999999999999908,18.999999999999908,18.499999999999908,17.999999999999908
2024-04-01,PDL,long,127815.0,127755.0,time,-4.6942847083675625,-5.6942847083675625,-6.1942847083675625,-6.6942847083675625
2024-04-02,PDL,long,127305.0,127559.61,tp,20.000000000000043,19.000000000000043,18.500000000000043,18.000000000000043
2024-04-03,PDL,long,127085.0,126767.2875,stop,-24.99999999999954,-25.99999999999954,-26.49999999999954,-26.99999999999954
2024-04-03,PDH,short,128160.0,127903.68,tp,20.000000000000547,19.000000000000547,18.500000000000547,18.000000000000547
2024-04-04,PDH,short,128210.0,128530.525,stop,-24.999999999999545,-25.999999999999545,-26.499999999999545,-26.999999999999545
2024-04-05,PDL,long,127555.0,127810.11,tp,20.000000000000043,19.000000000000043,18.500000000000043,18.000000000000043
2024-04-08,PDH,short,128400.0,128143.2,tp,20.000000000000227,19.000000000000227,18.500000000000227,18.000000000000227
2024-04-09,PDH,short,129565.0,129305.87,tp,20.00000000000036,19.00000000000036,18.50000000000036,18.00000000000036
2024-04-10,PDH,short,130385.0,130710.9625,stop,-24.999999999999552,-25.999999999999552,-26.499999999999552,-26.999999999999552
2024-04-10,PDL,long,129235.0,129493.47,tp,20.000000000000092,19.000000000000092,18.500000000000092,18.000000000000092
2024-04-11,PDL,long,127915.0,128170.83,tp,20.000000000000135,19.000000000000135,18.500000000000135,18.000000000000135
2024-04-12,PDL,long,127160.0,127414.32,tp,20.00000000000055,19.00000000000055,18.50000000000055,18.00000000000055
2024-04-15,PDL,long,125725.0,125976.45,tp,19.99999999999977,18.99999999999977,18.49999999999977,17.99999999999977
2024-04-16,PDL,long,125075.0,124762.3125,stop,-25.0,-26.0,-26.5,-27.0
2024-04-18,PDL,long,125280.0,125405.0,time,9.977650063856961,8.977650063856961,8.477650063856961,7.977650063856961
2024-04-19,PDH,short,126820.0,126566.36,tp,19.999999999999954,18.999999999999954,18.499999999999954,17.999999999999954
2024-04-22,PDH,short,127170.0,126915.66,tp,19.999999999999726,18.999999999999726,18.499999999999726,17.999999999999726
2024-04-23,PDL,long,126125.0,125809.6875,stop,-25.0,-26.0,-26.5,-27.0
2024-04-25,PDL,long,126005.0,126257.01,tp,19.999999999999584,18.999999999999584,18.499999999999584,17.999999999999584
2024-04-26,PDH,short,127255.0,127573.1375,stop,-24.99999999999977,-25.99999999999977,-26.49999999999977,-26.99999999999977
2024-04-29,PDH,short,128250.0,127993.5,tp,20.0,19.0,18.5,18.0
