date,instrument,year,weekday,n_bars_day,is_fixing_eom,eom_offset,is_roll,ret_day,w1000_bar_missing,ret_into_10:00,ret_during_10:00,ret_after_10:00,tr_10:00,volu_10:00,tr_viz_media_10:00,volu_viz_media_10:00,absret_viz_media_10:00,w1100_bar_missing,ret_into_11:00,ret_during_11:00,ret_after_11:00,tr_11:00,volu_11:00,tr_viz_media_11:00,volu_viz_media_11:00,absret_viz_media_11:00,w1200_bar_missing,ret_into_12:00,ret_during_12:00,ret_after_12:00,tr_12:00,volu_12:00,tr_viz_media_12:00,volu_viz_media_12:00,absret_viz_media_12:00,w1300_bar_missing,ret_into_13:00,ret_during_13:00,ret_after_13:00,tr_13:00,volu_13:00,tr_viz_media_13:00,volu_viz_media_13:00,absret_viz_media_13:00,ret_am_prefix,ret_pos_fix
2022-12-06,WIN,2022,Tuesday,38,False,other,False,0.008153411678965217,False,0.00413598763748757,-0.004073688498619443,-0.00031812397745867305,815.0,301594,670.0,245019.0,0.003272516567235706,False,0.00013602357742015236,-0.0013600507752289381,0.0019520610132559568,325.0,191924,407.5,164128.0,0.0015454413988588156,False,0.00431132289539371,-0.0016267510167193855,0.000588395039377243,490.0,190689,535.0,218215.5,0.001834444675094249,False,0.0008608581396403192,-0.0005885015844273589,-0.0024458737204456904,230.0,118113,267.5,124054.0,0.0008374034688275467,0.005648173453584704,0.002491167678231765
2022-12-07,WIN,2022,Wednesday,38,False,other,False,-0.0011842944338161798,False,0.0037470297934563135,-0.0011381225530364691,0.00027346064445565865,350.0,252059,410.0,218937.5,0.001574295917630919,False,0.0037806322310285356,-9.07564550528539e-05,-0.005037211835178801,360.0,211592,565.0,220451.0,0.003094048714181896,False,0.0011824093865113738,-0.0011355893708835385,0.00027285129604370795,505.0,274277,445.0,195127.5,0.003348427786445951,False,-0.002721335268505043,-0.0024104056758231795,-0.005379530430818291,330.0,116303,565.0,176141.5,0.00330477746477148,-0.0008654459324041186,-0.0003191246865740238
2022-12-08,WIN,2022,Thursday,38,False,other,False,-0.02074195906432752,False,0.0020249436237287366,0.0009644973131861523,0.0016519823788545551,455.0,249258,265.0,158048.5,0.000619841319002834,False,0.0014214315190976823,-0.0028846153846153744,-0.0009642758747360203,405.0,190936,395.0,188999.5,0.0013769058767892917,False,0.000916338312104914,-0.0028838231255149394,-0.0067480719794345,405.0,144439,465.0,171652.5,0.003422504778560098,False,-0.0070429018596943616,-0.0031060219739464934,0.004836309523809534,640.0,218651,430.0,169869.5,0.0027574940952805327,-0.01754385964912286,-0.0032552083333333703
2022-12-09,WIN,2022,Friday,38,False,other,False,-0.0009269558769002817,False,0.0007866000370164716,-0.0030976929122936703,-0.005843342763066417,435.0,213550,362.5,165193.5,0.00043992055980973666,False,-0.0027834477639636646,0.0023725344250093983,0.005476146278076799,445.0,173166,465.0,194729.0,0.002049161820124046,False,0.0021319985168706257,-0.0014337249098140825,0.0012968366448984359,450.0,137419,392.5,123408.0,0.001918569950932203,False,4.623208506693288e-05,-0.00032360963432109813,0.0035146133925267886,320.0,85081,257.5,77018.0,0.0014105340209145112,0.0022246941045607205,-0.0031446540880503138
2022-12-12,WIN,2022,Monday,38,False,other,False,-0.029009685342230918,False,-0.0021410286246218435,0.0008395913988525905,-0.006570975859819139,590.0,268316,347.5,164382.0,0.0015837680268077081,False,-0.018381497510354117,-0.003792547643879818,-0.005900828019415605,690.0,243352,835.0,241083.0,0.006229562727174731,False,-0.00954687945283561,0.004459789958279448,-0.005633264906669266,735.0,180595,627.5,211583.0,0.0025087353176083127,False,-0.0018200105369030606,0.0012475409049470532,0.00014377456148761958,420.0,125316,250.0,97645.5,0.00055164661252316,-0.03304138282589553,0.00416946228314008
2022-12-13,WIN,2022,Tuesday,38,False,other,False,-0.01300247666222143,False,0.0020865936358893666,0.0006152098812171047,0.007567158531971208,405.0,251924,500.0,199815.0,0.0016357277787510949,False,0.000708918190840846,0.0029753471238311846,-0.0038613674891693206,750.0,248070,625.0,211067.0,0.0030746151452690773,False,-0.0030609842241582363,0.003684459140292917,-0.0025884789156626065,565.0,179776,460.0,178710.5,0.0009901059221760211,False,-0.0031569523630023966,0.0,-0.0017961807525052054,230.0,99301,407.5,142294.5,0.0015819484590463562,0.007620499142693804,-0.020467006995651404
2022-12-14,WIN,2022,Wednesday,38,False,other,True,0.004945786570287325,False,0.0011008998659773894,0.00038250059765720934,0.0027719365322118605,355.0,206324,332.5,177254.5,0.001099041554349478,False,0.004833460949464019,-0.0019050340524836562,-0.003865241458293589,620.0,218088,345.0,181082.0,0.0010016561519232137,False,-0.006450379855702626,-0.0019236318168702748,0.0020237062734893563,500.0,230675,500.0,197545.0,0.002590596776957832,False,0.004090471607314683,-0.0018691588785046953,-0.0017766253721309688,300.0,100117,422.5,118861.0,0.002307166421483986,-0.009606239299980945,0.014693171996542853
2022-12-15,WIN,2022,Thursday,38,False,other,False,0.007807293154336925,False,0.0007619047619047414,-0.0006661591168632963,0.015237369649064414,360.0,231632,417.5,157835.0,0.0017375686651959765,False,0.007550216059641901,0.0005655575454801554,0.009609496443544252,465.0,171075,650.0,205099.0,0.003852172866257386,False,0.005072804133396058,-0.004439667258622326,-0.0059146599070553085,565.0,181450,737.5,234534.5,0.0033981515543978214,False,-0.00028308563340406767,-0.0028316579357213767,0.0013251928628899012,370.0,99556,385.0,119517.5,0.0009695868398879037,0.005855469865752694,0.0019404609778030935
2022-12-16,WIN,2022,Friday,38,False,other,False,-0.0039003044140030196,False,0.0033277870216306127,0.0027955460791282416,-0.005527994330262187,495.0,224688,452.5,182004.5,0.002740655374344869,False,0.00104498171281997,-0.003416370106761546,0.00019045805161410634,520.0,201535,457.5,214696.0,0.001450837825403395,False,0.0034814956123616625,-0.00437241575970726,-0.0031982433529046395,565.0,185461,425.0,192566.0,0.0022890768209826162,False,0.0009096567242783404,0.0012436621065723408,-0.0017675440691731215,315.0,106308,250.0,113647.0,0.0007417993785024946,-0.004328386605783829,0.00042994315196098754
2022-12-19,WIN,2022,Monday,38,False,other,False,0.016999999999999904,False,0.0025309202043837242,-0.001381347051538584,0.0067731934176007424,360.0,209614,542.5,194437.5,0.0040071216625315875,False,-0.002228121740779354,-0.0018054829666935834,0.0031891094292921807,525.0,181236,545.0,193834.0,0.003063372279139498,False,-0.000426985482493647,0.004603920451848653,0.003401521235885996,530.0,223594,635.0,209022.0,0.003473100201998758,False,-0.0037548108514033895,-0.0011306887779138908,0.002782887599641626,270.0,119270,257.5,96731.0,0.0014380628484781388,0.009571428571428564,0.00735814348379793
2022-12-20,WIN,2022,Tuesday,38,False,other,False,0.02460053418302799,False,-0.0014560142783335284,0.005738476011288851,0.012768345727515173,715.0,280795,637.5,269784.0,0.004283147519545949,False,0.00696346502019396,0.0026739200590106815,0.0011034990114489052,405.0,223433,425.0,230377.5,0.0015900116250704421,False,0.0032595721237718145,-0.001418569532787295,0.00027495188342041565,320.0,148444,407.5,165505.0,0.002570342761856359,False,0.0045890505254462255,-0.0018272349367319807,-0.0026085762665324363,475.0,159632,535.0,181250.0,0.0027702468750929743,0.023897661777798618,0.0006864674385611558
2022-12-21,WIN,2022,Wednesday,38,False,other,False,-0.003281378178835115,False,0.0009624197983502114,0.004395403140881937,-0.004102844638949721,600.0,322679,690.0,287132.5,0.003177313283268479,False,-0.009151642719868236,0.0011083402604599168,0.0027676553346556165,700.0,280961,875.0,252304.0,0.00683933566525341,False,-0.0023409529055357092,-4.6008741660941155e-05,0.0030827275236955387,365.0,176763,527.5,191213.0,0.0003910658413798229,False,0.0018393341610336567,-0.00032129251388446356,0.0006887052341597588,330.0,134960,362.5,129331.0,0.0010097914228667237,-0.007383100902379036,0.004132231404958775
