date,instrument,year,weekday,n_bars_day,is_fixing_eom,eom_offset,is_roll,ret_day,w1000_bar_missing,ret_into_10:00,ret_during_10:00,ret_after_10:00,tr_10:00,volu_10:00,tr_viz_media_10:00,volu_viz_media_10:00,absret_viz_media_10:00,w1100_bar_missing,ret_into_11:00,ret_during_11:00,ret_after_11:00,tr_11:00,volu_11:00,tr_viz_media_11:00,volu_viz_media_11:00,absret_viz_media_11:00,w1200_bar_missing,ret_into_12:00,ret_during_12:00,ret_after_12:00,tr_12:00,volu_12:00,tr_viz_media_12:00,volu_viz_media_12:00,absret_viz_media_12:00,w1300_bar_missing,ret_into_13:00,ret_during_13:00,ret_after_13:00,tr_13:00,volu_13:00,tr_viz_media_13:00,volu_viz_media_13:00,absret_viz_media_13:00,ret_am_prefix,ret_pos_fix
2024-01-31,WDO,2024,Wednesday,38,True,D0,True,0.00010078613182828988,False,-0.0006039863096436449,0.0025181305398871423,-0.0007032348804500987,18.5,38599,9.75,27674.5,0.0007035686752699388,False,-0.0005028663381273502,-0.0022137250955927,-0.001311012505042397,17.5,34322,8.0,20673.5,0.0006540919393965838,False,0.0010088781275221503,0.00010078613182828988,-0.00020157226365646874,9.0,29969,12.5,24914.0,0.0016143184332492178,False,0.0,-0.0015140809528616517,0.0014152850788515803,18.0,34813,7.25,12362.5,0.0007057878311572119,-0.0030235839548478083,0.003133845531742896
2024-02-01,WDO,2024,Thursday,38,False,other,False,-0.006450312437008665,False,-0.0010061374383740773,-0.0008057206163762931,-0.00251990726741258,10.5,36800,13.25,31305.0,0.0010557621129723138,False,-0.001814882032667886,-0.0005050505050504528,-0.0012128562765312267,8.5,32626,5.0,14487.5,0.0006063872848475205,False,-0.0014138557867097168,0.00010113268608424875,-0.0024271844660194164,13.0,34374,6.25,17328.5,0.0006575159699994115,False,-0.0019228822993624384,0.0006083958629081732,-0.0010133765707336373,6.5,20011,7.75,19527.0,0.00010137875101379201,-0.005442451118726099,-0.0010133765707336373
2024-02-02,WDO,2024,Friday,38,False,other,False,0.012288006499441506,False,0.00040613260229460657,0.00010149193139152857,0.004769636695758139,3.5,10719,6.0,15886.5,0.0004566673432108703,False,0.009243270695784567,-0.0014090177133655457,-0.0009070751864543869,12.0,33644,13.25,33687.0,0.001969070496158243,False,-0.0006044731009470228,0.002721774193548354,0.0014074595355384467,19.5,33027,8.25,20170.5,0.0009560962620702718,False,0.0,0.0002008233758410416,0.0004015661078204946,4.5,13780,5.25,12427.0,0.00035137034434296055,0.011577130090382859,0.0007027406886859211
2024-02-05,WDO,2024,Monday,38,False,other,False,0.0016035277610744192,False,0.0010013016921999185,0.001100330099029767,0.0003996403237087609,10.0,36762,8.0,25532.5,0.0008501358688082217,False,0.00019964064683564153,-0.0006986027944111406,0.0003995205753095643,5.5,13583,5.5,17254.0,0.0004993658064731399,False,0.00019972039145188525,0.0029952076677315365,-0.00029862631893295966,20.0,57274,7.0,19068.5,9.954210631096805e-05,False,-0.00039824771007568316,-9.960159362554233e-05,-0.0008965929468021105,3.5,8116,4.25,9693.0,0.0002987899194253907,0.006013229104028905,-0.004383343295477182
2024-02-06,WDO,2024,Tuesday,38,False,other,False,-0.002506516944054571,False,-0.0007018247443352221,-0.001203973111267187,0.0012054244098442801,9.0,27930,5.75,20267.0,0.0003012049710154896,False,0.0013064013666967966,0.0004014452027298887,-0.0012038523274477964,5.5,18999,9.25,24739.0,0.0008025833162759732,False,-0.003907815631262523,-0.00020118700331961392,-0.0006037432078889182,8.0,23973,8.5,22131.0,0.0010047832924113265,False,0.00010066438494060748,0.0005032712632109249,-0.0011066398390342513,5.0,11344,6.75,11285.5,0.0008552118186363478,-0.00340886304391419,0.0009054325955735187
2024-02-07,WDO,2024,Wednesday,38,False,other,False,0.0012065151819826703,False,-0.0007040128733782902,0.0008051529790660261,-0.0003016894609815246,5.5,18701,7.0,19327.0,0.0005534011001276373,False,0.0010062386798148637,0.00020104543626864313,-0.0016078786051653138,5.5,16503,7.0,21845.5,0.0005028158750435829,False,-0.002010252286661962,0.0006042904622822753,0.0003019627579265993,9.0,19672,6.0,21274.5,0.0006039255158530321,False,-0.00010059350165980696,-0.0001006036217303663,0.0007042962068619651,2.5,7312,5.75,9464.0,0.0005533907773218605,-0.0007038005228232613,0.001911661132910858
2024-02-08,WDO,2024,Thursday,38,False,other,False,0.003811434302908756,False,0.0,0.00020054146194725675,0.0006015037593984918,4.5,12735,6.25,17174.5,0.0004010025062656797,False,-0.0003006012024048266,-0.00040092212087805557,0.0014036494886704443,3.5,10192,5.75,14327.0,0.00025047590421800603,False,0.0009022556390978487,0.00030048076923083755,0.0004005607850992021,6.0,13667,5.75,12902.5,0.0006008010734451785,False,0.00120264582080587,0.0009009009009008917,0.0009001800360071144,5.0,11130,10.5,26377.0,0.0006501700740548788,0.0028084252758275863,0.0010002000400080036
2024-02-09,WDO,2024,Friday,38,False,other,False,-0.007201440288057581,False,-0.0007004903432402676,-0.0006008411776486922,-0.002004008016032066,8.0,25657,8.0,22101.5,0.0008515529557613366,False,-0.00030099327781674123,-0.0010036130068246107,0.0006027727546715766,9.0,17467,11.25,25592.0,0.0014063487221943616,False,-0.002305302195048653,0.0005023106288928325,-0.0009036144578312699,6.5,15872,8.0,16134.5,0.0009036144578313254,False,0.00020104543626864313,0.000603015075376856,-0.000100452034153653,4.0,6896,3.5,7722.0,0.00015069824056512804,-0.00430086017203446,-0.0029131089904570473
2024-02-15,WDO,2024,Thursday,38,False,other,False,0.00312185297079548,False,0.001106751182211596,0.00020100502512554463,-0.0017080277303325175,6.0,25632,6.0,17954.0,0.0008053150795248598,False,-0.0005024115755627445,0.0,-0.0008042625917361601,5.5,18079,7.25,20364.5,0.0006038090850914446,False,0.00010053282396693675,-0.00020104543626864313,0.00221194450030171,4.5,14026,7.25,16443.5,0.001156597776094337,False,0.0011046394858404973,0.0006018657839301778,-0.0011027568922306052,6.5,19099,6.0,17224.5,0.0006015037593984918,0.004531722054380571,-0.0014035087719298511
2024-02-16,WDO,2024,Friday,38,False,other,False,-0.000401929260450129,False,0.0004018485031143104,0.0,0.002410122514561186,3.0,10766,4.25,10916.0,0.00015063769993256537,False,0.001908396946564972,-0.00010025062656637829,-0.0006015640665730793,5.5,18112,7.75,21543.0,0.0004508516372181415,False,-0.00070175438596487,-0.003009630818619602,0.0003018716039444591,20.0,39838,4.5,14182.0,0.00015093580197222956,False,0.0,0.00010058338362495256,0.0006035003017501595,3.5,6785,3.25,6791.0,0.00015087507543753986,-0.001004823151125378,0.0006035003017501595
2024-02-19,WDO,2024,Monday,38,False,other,False,-0.0022114997989545193,False,0.00040294147275110603,0.0,-0.0005034739703957403,3.5,11097,4.25,12286.0,0.00020142001567458045,False,-0.00040286030818814655,-0.0005037783375314575,0.0007056451612903469,5.5,17552,5.25,13025.0,0.00030238888744449355,False,0.0007052896725441293,0.00030205396697535747,0.0,4.0,10383,3.25,10112.0,0.00025183842046938576,False,-0.00010065425264216277,-0.00020132876988121495,0.00030205396697535747,3.0,8155,2.25,3773.0,0.00010066945415027062,-0.001608363490148812,-0.000604107933950826
2024-02-20,WDO,2024,Tuesday,38,False,other,False,-0.007648953301127248,False,0.0012100433598871696,-0.0024171618491287683,-0.002019182231196348,14.5,47372,8.0,27501.0,0.0009080265749779048,False,-0.0008086525826341839,-0.0005058168942843055,-0.0009110233829334735,5.0,16202,6.0,19346.0,0.0004048992813037722,False,-0.00020263424518740525,0.000912038913660318,0.0006074719044244503,5.5,16698,3.75,14131.0,0.00015193978129574015,False,0.00010124531740407505,0.00030370520348244057,0.0,3.0,9102,3.25,7049.5,0.00025295962764343427,-0.005636070853462183,-0.002024291497975672
2024-02-21,WDO,2024,Wednesday,38,False,other,False,0.0008106191103456339,False,0.0005073051948052409,-0.0008112767467802762,0.0007104435197402559,5.5,23415,5.5,19856.5,0.00045666738080812896,False,0.0004055972419387821,-0.0002027163997567749,-0.0005068423720222537,4.0,11194,5.5,16769.5,0.0003549438720906739,False,-0.00020273694880890147,-0.0002027780594139328,0.0007098671534326861,4.0,11003,5.0,9897.5,0.0004563585974867168,False,0.0007094354920442747,-0.001215312943082858,-0.0002027780594139328,8.0,17370,5.25,15349.0,0.0003040386575369203,-0.0006079643327591144,0.0014194464158978626
2024-02-22,WDO,2024,Thursday,38,False,other,False,0.006896551724137945,False,0.0006083341782419094,0.0008106191103456339,0.0011138112596191796,5.0,13975,4.75,17458.5,0.00020256242753058373,False,0.0010122482032595137,0.00030336737789471435,0.0013141932875051499,6.0,17877,7.0,21419.5,0.0006571477673448234,False,-0.00111077451277386,-0.00030327537403962435,0.0007078572150873708,8.0,22622,7.75,23962.0,0.0012124077512789544,False,-0.00030306091524401335,-0.0004042037186742231,-0.0001011020119300321,3.5,9001,2.5,6413.5,0.00015165301789510366,0.003144016227180524,0.0037407744414112987
2024-02-23,WDO,2024,Friday,38,False,other,False,0.007253677211364051,False,-0.0004023740066391168,0.00010063399416315733,0.002414972831555673,7.5,33128,7.0,19268.0,0.0010567988551474228,False,0.0012056666331758947,0.0009031610637231235,0.0008020050125312483,9.0,28799,7.75,26483.5,0.00030088270264089223,False,0.0024069802427038045,-0.0008004002001000821,-0.0011013215859030367,6.5,25242,7.5,18996.0,0.0007011418811258552,False,0.0003004506760140302,-0.0006007208650380402,-0.0015027048687638045,6.5,14654,5.25,10509.0,0.0009520143173619711,0.005641748942172065,0.0016028851933480581
2024-02-26,WDO,2024,Monday,38,False,D-3,False,-0.00010028078620138992,False,0.0008024877119068297,0.0006013831813169723,-0.000300510868476378,5.5,23351,7.0,16367.0,0.001103114757150525,False,-0.0019015212169736229,0.0009024365787626554,-0.0031055900621117516,7.5,19903,10.5,25367.0,0.0015528652978166746,False,-0.00040172742794009064,0.0010047221943132456,0.001304827863093383,7.5,16390,4.75,13374.0,0.0003012351609910091,False,-0.0006020469596628164,0.0007028112449798396,0.0011036420186616436,4.5,9531,6.75,10904.5,0.0008521354229985012,-0.0005014039310068386,0.00040132437042239566
2024-02-27,WDO,2024,Tuesday,38,False,D-2,False,-0.008937537658164296,False,0.0,0.00020124773596297274,0.0003018108651910989,4.5,16420,4.75,16387.0,0.0003521227991818421,False,-0.0006033182503770718,-0.0018110473890733392,0.000403185162785924,10.5,33649,5.75,17230.5,0.0005539335526887346,False,-0.0028203062046736616,-0.00020202020202020332,-0.0009093664746893104,6.5,32911,9.25,24825.0,0.00151204764235352,False,-0.0003032447184878606,-0.00010111223458042495,0.00040444893832147777,2.5,10728,5.5,15188.0,0.00020224492066450717,-0.006828680457923286,-0.002123356926188036
2024-02-28,WDO,2024,Wednesday,38,False,D-1,False,0.004349145342368743,False,0.0,-0.0008080808080808133,0.0005054078641464343,5.5,18073,4.0,13735.0,0.0003031630116491213,False,0.0007074994946432156,0.0016159983840016157,-0.0005042355788624775,10.5,32446,8.0,22318.5,0.0003028164404802469,False,0.0008069396812588892,-0.0009070751864543869,0.0,8.0,15849,7.5,16008.0,0.0010593271338559251,False,-0.001511639625113359,0.0007064997981429677,0.000302571860816947,4.5,10603,4.75,8508.5,0.0004034698447344387,0.0028320016182865615,0.001512859304084735
2024-02-29,WDO,2024,Thursday,38,True,D0,True,0.002010858636637858,False,0.00360468609191944,-0.00019954105557218327,-0.0013972055888223922,6.5,29991,9.0,20897.5,0.0012488516220930945,False,-0.0002995805871779389,-0.0019978024173409326,0.00040036032429191515,17.5,37728,7.0,21737.0,0.0004500302520920041,False,-0.0021008403361344463,-0.0008020050125313594,0.00040132437042239566,12.0,36969,13.5,23028.5,0.0013517996080412154,False,0.0007028112449798396,0.00040132437042239566,0.00040112314480555966,5.5,14023,6.0,14141.0,0.0005014190168737276,0.002614116227629193,-0.0006016847172082285
2024-03-01,WDO,2024,Friday,38,False,other,False,-0.0011058610636373034,False,0.0,0.0007035883003316812,0.00010044194455605115,9.0,27982,4.25,14835.0,0.0002009343573788902,False,-0.00040168708576016066,-0.0006027727546714656,0.00040209087253728626,10.5,29770,6.75,21438.5,0.000401954580813324,False,0.0022123893805310324,-0.0032109171182018725,-0.0012079726192872897,20.5,47952,8.5,24191.0,0.0010556105181658282,False,-0.000503626107977384,0.00010077597500757207,-0.00030229746070131736,4.5,11696,3.5,9395.5,0.00025192470638168984,-0.0023122549512415436,0.0012091898428052694
2024-03-04,WDO,2024,Monday,38,False,other,False,-0.0013091641490432515,False,-0.0006042296072507058,0.0002015316404675449,-0.0009067096514204787,3.0,8984,4.75,13610.0,0.0006546024146951712,False,-0.00040322580645157924,-0.0003025413473174421,0.0007062146892655718,4.0,14402,6.0,19470.0,0.00025219409883303623,False,0.0,0.00020171457387796465,-0.000604960677555999,3.0,7889,4.0,8946.5,0.00035287339854517263,False,-0.00010085728693898233,-0.0006052047609441669,-0.00010092854259180495,4.5,10729,3.25,9264.5,0.0002018163553440533,-0.002215508559919477,0.0009083568833265776
2024-03-05,WDO,2024,Tuesday,38,False,other,False,0.00040290088638195165,False,-0.0008052340211374132,-0.0007051475773144356,0.00040322580645169026,5.0,24748,4.75,17145.5,0.00045320283224115077,False,0.00020155195001514414,0.00010075566750633591,0.0,3.5,13107,2.25,7729.0,0.00010075566852918438,False,0.001309955663039153,-0.0022139478715910155,-0.000605143721633894,17.0,46201,9.0,21576.5,0.0007053303878860051,False,-0.00040355125100888234,0.0008074283407346616,0.0018154311649016819,4.5,7554,3.25,7547.0,0.0,-0.0013094278807412874,0.0017145738779626996
2024-03-06,WDO,2024,Wednesday,38,False,other,False,0.0006054490413722746,False,0.0014149989892864312,-0.00030278562777552587,-0.000807672892478517,5.0,16916,7.75,24065.5,0.001009754265359375,False,-0.0002021835826930829,0.0003033367037410528,0.0003032140691328067,4.5,18337,4.5,11242.0,0.0006063055903948733,False,0.0010111223458038054,-0.00060606060606061,0.0008085708510208178,8.0,23563,4.0,11447.0,0.000555846504625257,False,-0.0005049484952535099,0.00010104071940997272,-0.0006061218304879157,3.0,8437,4.25,8426.5,0.00025248955064205436,-0.0011099899091826515,0.0017173451863825573
