date,instrument,weekday,year,dst_regime,anchor_time_local,n_bars_day,first_bar_time,last_bar_time,is_roll,day_open,day_close,ret_day,gap_on,anchor_found,anchor_late,valid_for_conditional,ret_morning,ret_post,ret_ny30,ret_post_after30,ret_ny60,morning_high,morning_low,range_morning_pts,range_morning_pct,tr_sum_morning,volu_morning,tr_sum_post,volu_post,vol_par,broke_high,broke_low,t_first_break,false_break_high,false_break_low
2022-06-01,WIN,Wednesday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,112175.0,111885.0,-0.002585246266993524,0.003354203935599376,True,False,True,-0.0019612213059950756,-0.0006252512170068503,0.002143718458309074,-0.0027630464815722178,-0.005850564959135385,112400.0,111650.0,750.0,0.006685981724983285,2005.0,979808,8875.0,3901007,0.8852867830423939,True,True,30.0,True,True
2022-06-02,WIN,Thursday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,112200.0,112865.0,0.005926916221033807,0.0028153908030568164,True,False,True,0.005971479500891164,-4.4298750775273454e-05,-0.008195268893417151,0.008218321497163839,-0.010631700186054749,113030.0,111905.0,1125.0,0.010026737967914439,2125.0,980801,8010.0,3411497,0.7538823529411764,True,True,15.0,True,True
2022-06-03,WIN,Friday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,112230.0,111750.0,-0.004276931301790965,-0.0056261905816683555,True,False,True,-0.0047669963467878995,0.0004924123729799224,0.0034021218496800287,-0.0028998438545616567,0.0022382380590000306,112395.0,111665.0,730.0,0.006504499688140426,2300.0,1129069,7695.0,3532060,0.6691304347826087,False,True,0.0,False,True
2022-06-06,WIN,Monday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,112565.0,110690.0,-0.01665704259761025,0.007293064876957578,True,False,True,-0.004708390707591215,-0.01200517695363057,-0.0013388673182487265,-0.010680609554453269,-0.006649707680635553,112735.0,111880.0,855.0,0.007595611424510283,1595.0,754147,7725.0,3497021,0.9686520376175549,False,True,15.0,False,False
2022-06-07,WIN,Tuesday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,110190.0,110350.0,0.0014520373899626904,-0.004517119884361764,True,False,True,-0.002041927579635172,0.003501113990815208,0.002591733733460666,0.0009070294784581101,0.002546264720592939,110610.0,109620.0,990.0,0.008984481350394773,2855.0,1311313,7910.0,3360877,0.5541155866900176,True,False,15.0,True,False
2022-06-08,WIN,Wednesday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,110125.0,108860.0,-0.011486946651532381,-0.0020389669234254226,True,False,True,-0.004494892167990927,-0.0070236249201860446,0.005700994253397873,-0.012652487415536706,0.0003192556781903555,110200.0,109175.0,1025.0,0.009307604994324632,2180.0,1087798,9110.0,3707878,0.8357798165137615,True,True,15.0,False,False
2022-06-09,WIN,Thursday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,109175.0,107705.0,-0.013464621021296086,0.0028936248392430475,True,False,True,-0.012777650561025866,-0.0006958619409909161,0.005474113935795222,-0.0061363846082864715,0.004035999257747225,109445.0,107670.0,1775.0,0.016258300893061597,3060.0,1474498,9055.0,4115106,0.5918300653594771,False,True,0.0,False,True
2022-06-10,WIN,Friday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,107850.0,105450.0,-0.022253129346314293,0.0013462699039041848,True,False,True,-0.027074640704682462,0.004955684742209199,0.005479843705327392,-0.0005213023079474466,0.001620127704183849,108030.0,104685.0,3345.0,0.03101529902642559,4765.0,1895563,10255.0,3985368,0.4304302203567681,False,False,,False,False
2022-06-13,WIN,Monday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,103600.0,102800.0,-0.007722007722007707,-0.01754385964912286,True,False,True,-0.0018339768339767915,-0.005898849240885795,-0.008461464075041114,0.0025844833471497797,-0.013683396189923647,104045.0,103125.0,920.0,0.00888030888030888,3080.0,1317585,12280.0,4814452,0.7974025974025973,False,True,0.0,False,False
2022-06-14,WIN,Tuesday,2022,EDT,10:30:00,36,09:00:00,17:45:00,False,103000.0,102070.0,-0.009029126213592198,0.0019455252918287869,True,False,True,-0.0014077669902912149,-0.007632103446599592,0.00024306061931844702,-0.007873250388802489,-0.009090467162510385,103400.0,102565.0,835.0,0.008106796116504854,2605.0,1425569,11110.0,4658282,0.8529750479846449,False,True,0.0,False,False
