date,instrument,weekday,year,dst_regime,anchor_time_local,n_bars_day,first_bar_time,last_bar_time,is_roll,day_open,day_close,ret_day,gap_on,anchor_found,anchor_late,valid_for_conditional,ret_morning,ret_post,ret_ny30,ret_post_after30,ret_ny60,morning_high,morning_low,range_morning_pts,range_morning_pct,tr_sum_morning,volu_morning,tr_sum_post,volu_post,vol_par,broke_high,broke_low,t_first_break,false_break_high,false_break_low
2023-03-23,WDO,Thursday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5215.5,5306.5,0.017447991563608545,-0.006855184233076295,True,False,True,0.007285974499089187,0.010088512420291185,0.0038069858189777595,0.006257703612401633,0.0038069858189777595,5256.5,5212.0,44.5,0.008532259610775573,74.5,239678,309.0,651616,0.829530201342282,True,False,0.0,False,False
2023-03-24,WDO,Friday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5330.0,5255.0,-0.01407129455909939,0.004428531046829276,True,False,True,-0.0012195121951219523,-0.012867474405935941,-0.0014088475626937713,-0.011474793077501877,-0.005071851225697421,5349.0,5318.0,31.0,0.005816135084427768,93.0,312683,262.5,572114,0.5645161290322581,False,True,0.0,False,False
2023-03-27,WDO,Monday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5256.0,5203.5,-0.00998858447488582,0.00019029495718370093,True,False,True,-0.002758751902587564,-0.007249833063054489,-0.0012401030239435062,-0.006017191977077396,-0.0014308881045502764,5257.0,5227.5,29.5,0.0056126331811263315,74.0,202206,199.5,457530,0.5391891891891892,False,True,30.0,False,False
2023-03-28,WDO,Tuesday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5199.0,5169.0,-0.0057703404500865085,-0.000864802536754139,True,False,True,-0.004904789382573549,-0.0008698173383588914,-0.0009664637092877681,9.673986649905153e-05,-0.0012564028220740653,5199.0,5162.5,36.5,0.007020580880938642,99.5,294415,233.5,493274,0.46934673366834173,False,True,0.0,False,True
2023-03-29,WDO,Wednesday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5166.0,5139.0,-0.005226480836236891,-0.0005803830528148257,True,False,True,-0.00019357336430503302,-0.005033881897386294,-0.0030977734753145914,-0.001942124684404689,-0.002516940948693147,5185.0,5152.0,33.0,0.006387921022067364,93.5,284548,265.5,606021,0.5679144385026738,False,True,15.0,False,False
2023-03-30,WDO,Thursday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5106.0,5096.0,-0.0019584802193497453,-0.0064214827787507645,True,False,True,-0.002056404230317277,9.812579727208615e-05,0.0035325287017957674,-0.003422313483915085,0.00951820233539391,5118.5,5070.0,48.5,0.009498629063846456,135.0,370314,357.0,651924,0.5288888888888889,True,False,30.0,True,False
2023-03-31,WDO,Friday,2023,EDT,10:30:00,36,09:00:00,17:45:00,True,5133.0,5087.5,-0.008864211961815749,,True,False,True,-0.0060393532047535725,-0.0028420227361818373,0.002548020384163019,-0.005376344086021501,-0.001470011760094092,5133.0,5085.5,47.5,0.009253847652444963,131.5,297984,257.0,514347,0.39087452471482886,False,True,105.0,False,True
2023-04-03,WDO,Monday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5078.5,5089.0,0.002067539627842896,,True,False,True,0.003544353647730647,-0.0014715981555969426,-0.0004905327185322772,-0.0009815469179427216,-0.004709114097910305,5097.5,5063.0,34.5,0.006793344491483706,74.0,249520,234.0,507553,0.6324324324324324,True,False,0.0,True,False
2023-04-04,WDO,Tuesday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5074.0,5092.0,0.0035474970437525677,-0.00294753389663982,True,False,True,0.003448955459203873,9.820288716477776e-05,0.0014730433074732208,-0.0013728181996469635,-0.00029460866149466636,5093.5,5071.5,22.0,0.0043358297201418995,46.0,195756,193.0,498200,0.8391304347826087,True,False,0.0,True,False
2023-04-05,WDO,Wednesday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5092.0,5058.0,-0.00667714061272584,0.0,True,False,True,-0.003731343283582045,-0.002956830277942024,-0.001084171101912057,-0.0018746916625554944,-0.0011827321111768097,5097.5,5066.5,31.0,0.006087981146897094,77.0,279775,250.5,521331,0.6506493506493506,False,True,0.0,False,False
