thesis,market,split,param_a_name,param_a,param_b_name,param_b,metric,point_bps,ci_lo_bps,ci_hi_bps,n,note
S4_DOW,WIN,DISCOVERY,weekday,Tue,,,mean_ret_bps,2.3476,-14.4817,18.3952,172,
S4_DOW,WIN,DISCOVERY,weekday,Wed,,,mean_ret_bps,-3.0327,-20.8821,14.2978,173,
S4_DOW,WIN,DISCOVERY,weekday,Thu,,,mean_ret_bps,-4.4564,-22.2923,13.2331,173,
S4_DOW,WIN,DISCOVERY,weekday,Fri,,,mean_ret_bps,-8.7761,-27.9426,10.3796,171,
S4_DOW,WIN,DISCOVERY,spread,Tue-Fri,,,spread_best_minus_worst_bps,11.1237,-15.4528,36.6406,343,
S4_DOW,WIN,H1,best_day,Wed,,,mean_ret_bps,5.8138,,,86,
S4_DOW,WIN,H1,worst_day,Mon,,,mean_ret_bps,-16.473,,,85,
S4_DOW,WIN,H2,best_day,Tue,,,mean_ret_bps,10.1915,,,89,
S4_DOW,WIN,H2,worst_day,Wed,,,mean_ret_bps,-11.7775,,,87,
S1,WDO,DISCOVERY,,,,,mean_ret_bps_per_day,-0.1669,-6.1761,6.4135,862,
S1,WDO,year_2021,,,,,mean_ret_bps_per_day,3.3471,-14.9291,21.1996,113,
S1,WDO,year_2022,,,,,mean_ret_bps_per_day,-5.0197,-19.2494,8.9961,250,
S1,WDO,year_2023,,,,,mean_ret_bps_per_day,-5.5422,-15.0127,4.7326,248,
S1,WDO,year_2024,,,,,mean_ret_bps_per_day,8.3956,-1.5995,18.1658,251,
S1,WDO,H1,,,,,mean_ret_bps_per_day,-3.4284,-12.889,6.5833,426,
S1,WDO,H2,,,,,mean_ret_bps_per_day,3.0198,-4.2929,9.7201,436,
S2,WDO,DISCOVERY,L,21,F,5,spread_up_minus_down_bps_per_day,-9.7772,-21.8559,2.7603,168,
S2,WDO,H1,L,21,F,5,spread_up_minus_down_bps_per_day,-22.8354,-43.3413,-2.7055,82,
S2,WDO,H2,L,21,F,5,spread_up_minus_down_bps_per_day,0.758,-14.1722,15.6051,86,
S2,WDO,DISCOVERY_G3,L,21,F,5,spread_up_minus_down_bps_per_day_g3,-9.4229,-19.4754,1.4846,160,n_removed=8
S2,WDO,DISCOVERY,L,21,F,21,spread_up_minus_down_bps_per_day,3.1255,-7.3837,13.2773,40,
S2,WDO,H1,L,21,F,21,spread_up_minus_down_bps_per_day,-5.0054,-20.5428,11.0384,20,
S2,WDO,H2,L,21,F,21,spread_up_minus_down_bps_per_day,9.4097,-0.2195,20.9843,20,
S2,WDO,DISCOVERY_G3,L,21,F,21,spread_up_minus_down_bps_per_day_g3,3.4363,-5.7386,12.3958,38,n_removed=2
S2,WDO,DISCOVERY,L,63,F,5,spread_up_minus_down_bps_per_day,1.5432,-11.4161,13.8982,159,
S2,WDO,H1,L,63,F,5,spread_up_minus_down_bps_per_day,-7.3566,-28.1449,15.1248,73,
S2,WDO,H2,L,63,F,5,spread_up_minus_down_bps_per_day,5.5471,-6.3769,18.6778,86,
S2,WDO,DISCOVERY_G3,L,63,F,5,spread_up_minus_down_bps_per_day_g3,7.3076,-3.9076,18.4406,151,n_removed=8
S2,WDO,DISCOVERY,L,63,F,21,spread_up_minus_down_bps_per_day,0.3708,-9.8412,11.159,38,
S2,WDO,H1,L,63,F,21,spread_up_minus_down_bps_per_day,-6.5093,-22.5449,10.3013,18,
S2,WDO,H2,L,63,F,21,spread_up_minus_down_bps_per_day,5.596,-5.2779,17.8782,20,
S2,WDO,DISCOVERY_G3,L,63,F,21,spread_up_minus_down_bps_per_day_g3,0.2013,-9.6633,9.5309,36,n_removed=2
S2,WDO,DISCOVERY,L,126,F,5,spread_up_minus_down_bps_per_day,5.7642,-8.9726,20.4848,147,
S2,WDO,H1,L,126,F,5,spread_up_minus_down_bps_per_day,1.4763,-30.914,35.1372,61,
S2,WDO,H2,L,126,F,5,spread_up_minus_down_bps_per_day,4.6187,-10.281,19.1011,86,
S2,WDO,DISCOVERY_G3,L,126,F,5,spread_up_minus_down_bps_per_day_g3,5.9201,-6.7663,18.1369,140,n_removed=7
S2,WDO,DISCOVERY,L,126,F,21,spread_up_minus_down_bps_per_day,6.9323,-3.9801,18.4137,35,
S2,WDO,H1,L,126,F,21,spread_up_minus_down_bps_per_day,-7.7116,-27.2335,12.9559,15,
S2,WDO,H2,L,126,F,21,spread_up_minus_down_bps_per_day,11.078,0.6726,22.9559,20,
S2,WDO,DISCOVERY_G3,L,126,F,21,spread_up_minus_down_bps_per_day_g3,1.3841,-9.5517,11.3269,33,n_removed=2
S2,WDO,DISCOVERY,L,252,F,5,spread_up_minus_down_bps_per_day,10.5181,-5.4872,26.3998,122,
S2,WDO,H1,L,252,F,5,spread_up_minus_down_bps_per_day,,,,35,
S2,WDO,H2,L,252,F,5,spread_up_minus_down_bps_per_day,7.626,-7.7825,22.5795,87,
S2,WDO,DISCOVERY_G3,L,252,F,5,spread_up_minus_down_bps_per_day_g3,13.4686,1.7268,24.2399,116,n_removed=6
S2,WDO,DISCOVERY,L,252,F,21,spread_up_minus_down_bps_per_day,8.5081,-3.3707,20.824,29,
S2,WDO,H1,L,252,F,21,spread_up_minus_down_bps_per_day,,,,9,
S2,WDO,H2,L,252,F,21,spread_up_minus_down_bps_per_day,4.9946,-7.1954,17.7305,20,
S2,WDO,DISCOVERY_G3,L,252,F,21,spread_up_minus_down_bps_per_day_g3,3.9091,-6.2164,13.6116,28,n_removed=1
S3,WDO,DISCOVERY,P,3,F,1,spread_Q1_minus_Q5_bps_per_day,8.5573,-12.4503,28.8035,344,
S3,WDO,H1,P,3,F,1,spread_Q1_minus_Q5_bps_per_day,21.16,-13.3658,52.7708,170,
