signal,k,h,half,quintile,n,mean_fwd_ret_bps,spread_q5_q1_bps,ci95_lo,ci95_hi,spearman,n_quintiles_valid
LARGE_OFI,5,5,H2,1,1638,0.5391519855861476,-0.9825888271945962,-1.6528521010159354,-0.29224567221520514,-0.8999999999999998,5
LARGE_OFI,5,5,H2,2,1637,0.20415637453156124,-0.9825888271945962,-1.6528521010159354,-0.29224567221520514,-0.8999999999999998,5
LARGE_OFI,5,5,H2,3,1637,0.43749398917078464,-0.9825888271945962,-1.6528521010159354,-0.29224567221520514,-0.8999999999999998,5
LARGE_OFI,5,5,H2,4,1637,0.0006678808292351731,-0.9825888271945962,-1.6528521010159354,-0.29224567221520514,-0.8999999999999998,5
LARGE_OFI,5,5,H2,5,1637,-0.4434368416084486,-0.9825888271945962,-1.6528521010159354,-0.29224567221520514,-0.8999999999999998,5
LARGE_OFI,5,15,H1,1,1994,0.3764106277773575,-0.49253459344426553,-1.170141234371491,0.16895266594930877,-0.49999999999999994,5
LARGE_OFI,5,15,H1,2,1994,0.13698050901647238,-0.49253459344426553,-1.170141234371491,0.16895266594930877,-0.49999999999999994,5
LARGE_OFI,5,15,H1,3,1993,1.0102983222225528,-0.49253459344426553,-1.170141234371491,0.16895266594930877,-0.49999999999999994,5
LARGE_OFI,5,15,H1,4,1994,0.21554082512931205,-0.49253459344426553,-1.170141234371491,0.16895266594930877,-0.49999999999999994,5
LARGE_OFI,5,15,H1,5,1994,-0.11612396566690802,-0.49253459344426553,-1.170141234371491,0.16895266594930877,-0.49999999999999994,5
LARGE_OFI,5,15,H2,1,1638,0.788264879311651,-1.1410656078909451,-2.127690924769807,-0.0895348922343211,-0.3,5
LARGE_OFI,5,15,H2,2,1637,0.02137997203852213,-1.1410656078909451,-2.127690924769807,-0.0895348922343211,-0.3,5
LARGE_OFI,5,15,H2,3,1637,0.5809068444630197,-1.1410656078909451,-2.127690924769807,-0.0895348922343211,-0.3,5
LARGE_OFI,5,15,H2,4,1637,0.9327239475768148,-1.1410656078909451,-2.127690924769807,-0.0895348922343211,-0.3,5
LARGE_OFI,5,15,H2,5,1637,-0.35280072857929407,-1.1410656078909451,-2.127690924769807,-0.0895348922343211,-0.3,5
LARGE_OFI,5,30,H1,1,1994,0.6792385140247109,-0.7419555394318693,-1.6159616008489723,0.17519253304962565,-0.3,5
LARGE_OFI,5,30,H1,2,1993,0.8195450745804189,-0.7419555394318693,-1.6159616008489723,0.17519253304962565,-0.3,5
LARGE_OFI,5,30,H1,3,1993,0.9858760276088641,-0.7419555394318693,-1.6159616008489723,0.17519253304962565,-0.3,5
LARGE_OFI,5,30,H1,4,1993,0.7837395088311029,-0.7419555394318693,-1.6159616008489723,0.17519253304962565,-0.3,5
LARGE_OFI,5,30,H1,5,1993,-0.06271702540715846,-0.7419555394318693,-1.6159616008489723,0.17519253304962565,-0.3,5
LARGE_OFI,5,30,H2,1,1638,1.1134465946034178,-1.4262998686853932,-2.652806830259648,-0.11973519488911255,-0.49999999999999994,5
LARGE_OFI,5,30,H2,2,1637,0.16617061393382684,-1.4262998686853932,-2.652806830259648,-0.11973519488911255,-0.49999999999999994,5
LARGE_OFI,5,30,H2,3,1637,2.068670033068984,-1.4262998686853932,-2.652806830259648,-0.11973519488911255,-0.49999999999999994,5
LARGE_OFI,5,30,H2,4,1637,1.002430413652826,-1.4262998686853932,-2.652806830259648,-0.11973519488911255,-0.49999999999999994,5
LARGE_OFI,5,30,H2,5,1637,-0.3128532740819753,-1.4262998686853932,-2.652806830259648,-0.11973519488911255,-0.49999999999999994,5
LARGE_OFI,15,5,H1,1,1955,0.14907450324045807,-0.14228490626380658,-0.6029389049703758,0.30222254564849477,-0.19999999999999998,5
LARGE_OFI,15,5,H1,2,1954,-0.09960440754148098,-0.14228490626380658,-0.6029389049703758,0.30222254564849477,-0.19999999999999998,5
LARGE_OFI,15,5,H1,3,1955,0.2929687457861146,-0.14228490626380658,-0.6029389049703758,0.30222254564849477,-0.19999999999999998,5
LARGE_OFI,15,5,H1,4,1954,0.08191193643409445,-0.14228490626380658,-0.6029389049703758,0.30222254564849477,-0.19999999999999998,5
LARGE_OFI,15,5,H1,5,1955,0.006789596976651479,-0.14228490626380658,-0.6029389049703758,0.30222254564849477,-0.19999999999999998,5
LARGE_OFI,15,5,H2,1,1605,0.1860577190096923,-0.19481323884748172,-0.9366915453317295,0.56141736447362,-0.7,5
LARGE_OFI,15,5,H2,2,1605,0.06366598957731993,-0.19481323884748172,-0.9366915453317295,0.56141736447362,-0.7,5
LARGE_OFI,15,5,H2,3,1604,0.17449599175384023,-0.19481323884748172,-0.9366915453317295,0.56141736447362,-0.7,5
LARGE_OFI,15,5,H2,4,1605,0.15708222110929593,-0.19481323884748172,-0.9366915453317295,0.56141736447362,-0.7,5
LARGE_OFI,15,5,H2,5,1605,-0.008755519837789414,-0.19481323884748172,-0.9366915453317295,0.56141736447362,-0.7,5
LARGE_OFI,15,15,H1,1,1955,0.23806946295042852,-0.32090372120563077,-1.252238028289731,0.629365926255205,-0.09999999999999999,5
LARGE_OFI,15,15,H1,2,1954,0.17595181645209124,-0.32090372120563077,-1.252238028289731,0.629365926255205,-0.09999999999999999,5
LARGE_OFI,15,15,H1,3,1954,0.5203964093130243,-0.32090372120563077,-1.252238028289731,0.629365926255205,-0.09999999999999999,5
LARGE_OFI,15,15,H1,4,1954,0.6557695773998959,-0.32090372120563077,-1.252238028289731,0.629365926255205,-0.09999999999999999,5
LARGE_OFI,15,15,H1,5,1954,-0.08283425825520223,-0.32090372120563077,-1.252238028289731,0.629365926255205,-0.09999999999999999,5
LARGE_OFI,15,15,H2,1,1605,0.5563318353780012,-0.12050067478359944,-1.4640753731028786,1.4576986684244235,-0.19999999999999998,5
