config_id,asset,tf,family,split,n_trades,win_rate,pf_gross,pf_net2,pf_net4,pf_net6,exp_gross_bps,exp_net6_bps,avg_hold_bars,pf_net6_ex_top2,pior_ano_pf_net6,max_dd_bps
WIN_M5_F6ii_adxlt20_vwapstretch_k1.0,WIN,M5,F6ii_adx_range,discovery,519,0.6146435452793835,0.8287754243066536,0.7156956153294732,0.612136241380465,0.5180186945360673,-2.750700263408437,-8.750700263408435,20.716763005780347,0.5053575426406153,0.39326896744203493,4556.839831141104
WIN_M5_F6ii_adxlt20_vwapstretch_k1.0,WIN,M5,F6ii_adx_range,confirm,539,0.6159554730983302,1.0132571097525087,0.8281322959444954,0.6646876292342818,0.521680051120984,0.13594892345307613,-5.864051076546924,21.962894248608535,0.48901110245994533,0.521680051120984,3193.5894932655983
WIN_M5_F6iii_ema200filter_ema9x21,WIN,M5,F6iii_ema200,discovery,473,0.28752642706131076,1.150040900275244,1.0067972603528081,0.8871152263024495,0.7859702997406663,2.1046350612787754,-3.8953649387212255,20.36997885835095,0.7267889032752207,0.7742696792268458,2393.26153865377
WIN_M5_F6iii_ema200filter_ema9x21,WIN,M5,F6iii_ema200,confirm,454,0.24008810572687225,0.7902399120947026,0.6647438184507952,0.5642404875648994,0.4827149006032791,-2.5335057466683315,-8.533505746668332,19.955947136563875,0.442187228065399,0.4827149006032791,3932.5000293107596
WIN_M5_F6iii_ema200filter_ema9x50,WIN,M5,F6iii_ema200,discovery,315,0.29523809523809524,1.0175513076838218,0.9102208966777563,0.8175914032601718,0.7370489507652164,0.30691062498587185,-5.693089375014129,27.88888888888889,0.6594391494178184,0.7265662032685678,1959.9155833809948
WIN_M5_F6iii_ema200filter_ema9x50,WIN,M5,F6iii_ema200,confirm,270,0.29259259259259257,1.0039328985377662,0.8718533256804273,0.7617960779028314,0.6690122571166033,0.054329992489213434,-5.945670007510786,32.43333333333333,0.6106578184061899,0.6690122571166033,1682.0237166005898
WIN_M15_F1_ema9x21,WIN,M15,F1,discovery,710,0.3676056338028169,1.0227509899792977,0.9478368515625595,0.8794256992231705,0.816873058488831,0.5880829877988023,-5.411917012201198,13.778873239436619,0.7883466679461139,0.7234423208732591,4167.190111383823
WIN_M15_F1_ema9x21,WIN,M15,F1,confirm,311,0.3665594855305466,1.0494190988272887,0.9350773971639764,0.8353037760256221,0.7478450768029821,0.8304695283165973,-5.1695304716834025,14.82636655948553,0.6975959490917841,0.7478450768029821,2097.042245982884
WIN_M15_F1_ema9x50,WIN,M15,F1,discovery,429,0.3916083916083916,1.0337010672444837,0.963806229545407,0.8993931260030719,0.8399061621280396,0.9436763078652464,-5.056323692134752,15.878787878787879,0.8052597000593464,0.809084185080619,2277.348986759832
WIN_M15_F1_ema9x50,WIN,M15,F1,confirm,194,0.42783505154639173,1.250326560094281,1.128682291838674,1.0203569224885933,0.9236450729805169,4.4026948223062705,-1.5973051776937286,17.88659793814433,0.8545679679231968,0.9236450729805169,796.6351711877808
