date,weekday,year,n_bars_day,day_open,day_close,day_high,day_low,day_range_pts,ret_open_close,last_bar_time,or15_high,or15_low,or15_width_pts,or15_width_pct,or15_open,or15_close,or15_ret,or15_broke,or15_side,or15_breakout_time,or15_false_break,or15_time_to_return_min,or15_continuation_pts,or15_continuation_pct,or15_typology,or15_rest_of_day_ret,or15_day_range_ratio,or30_high,or30_low,or30_width_pts,or30_width_pct,or30_open,or30_close,or30_ret,or30_broke,or30_side,or30_breakout_time,or30_false_break,or30_time_to_return_min,or30_continuation_pts,or30_continuation_pct,or30_typology,or30_rest_of_day_ret,or30_day_range_ratio,or60_high,or60_low,or60_width_pts,or60_width_pct,or60_open,or60_close,or60_ret,or60_broke,or60_side,or60_breakout_time,or60_false_break,or60_time_to_return_min,or60_continuation_pts,or60_continuation_pct,or60_typology,or60_rest_of_day_ret,or60_day_range_ratio,instrument,timeframe,is_roll,or15_width_tercile,or30_width_tercile,or60_width_tercile
2023-05-29,Monday,2023,108,5005.0,5022.5,5024.0,4977.0,47.0,0.0034965034965035446,17:55:00,5006.0,4989.5,16.5,0.0032967032967032967,5005.0,4993.0,-0.0023976023976024496,True,up,09:30:00,True,0.0,16.5,0.0032960447463044346,weak_trend,0.005908271580212343,0.35106382978723405,5006.0,4989.5,16.5,0.0032967032967032967,5005.0,4997.5,-0.0014985014985015033,True,up,09:30:00,True,0.0,16.5,0.0032960447463044346,weak_trend,0.005002501250625402,0.35106382978723405,5006.5,4987.0,19.5,0.003896103896103896,5005.0,4987.5,-0.0034965034965035446,True,down,10:00:00,True,35.0,-35.5,-0.0071185081211148984,reversal,0.007017543859649145,0.4148936170212766,WDO,M5,False,medio,estreito,estreito
2023-05-30,Tuesday,2023,108,5010.0,5040.5,5071.0,5002.0,69.0,0.0060878243512973995,17:55:00,5013.0,5002.0,11.0,0.0021956087824351296,5010.0,5009.0,-0.0001996007984031989,True,up,09:15:00,False,,27.5,0.005485737083582685,trend,0.006288680375324374,0.15942028985507245,5035.5,5002.0,33.5,0.006686626746506986,5010.0,5032.5,0.004491017964071808,True,up,09:50:00,False,,5.0,0.000992950054612253,weak_trend,0.0015896671634376691,0.4855072463768116,5049.0,5002.0,47.0,0.0093812375249501,5010.0,5047.0,0.007385229540918248,True,up,10:00:00,True,0.0,-8.5,-0.0016835016835016834,range,-0.0012878937982959693,0.6811594202898551,WDO,M5,False,estreito,largo,largo
2023-05-31,Wednesday,2023,108,5085.0,5083.0,5156.0,5080.0,76.0,-0.0003933136676499416,17:55:00,5114.5,5084.0,30.5,0.0059980334316617505,5085.0,5094.0,0.001769911504424737,True,down,09:50:00,True,0.0,1.0,0.0001966955153422502,weak_trend,-0.002159403219473943,0.40131578947368424,5114.5,5084.0,30.5,0.0059980334316617505,5085.0,5095.5,0.0020648967551621933,True,down,09:50:00,True,0.0,1.0,0.0001966955153422502,weak_trend,-0.0024531449318025977,0.40131578947368424,5114.5,5083.0,31.5,0.006194690265486726,5085.0,5092.0,0.0013765978367747955,True,up,11:00:00,True,5.0,-31.5,-0.006158959820119269,range,-0.0017674783974862551,0.4144736842105263,WDO,M5,True,largo,largo,medio
2023-06-01,Thursday,2023,108,5067.0,5044.0,5086.0,5032.0,54.0,-0.004539175054272704,17:55:00,5080.5,5057.5,23.0,0.0045391750542727455,5067.0,5066.5,-9.8677718571194e-05,True,down,09:30:00,True,0.0,13.5,0.0026693030153237766,weak_trend,-0.004440935557090686,0.42592592592592593,5080.5,5057.5,23.0,0.0045391750542727455,5067.0,5069.0,0.000394710874284554,True,down,09:30:00,True,0.0,13.5,0.0026693030153237766,weak_trend,-0.0049319392385085425,0.42592592592592593,5080.5,5048.5,32.0,0.006315373988553385,5067.0,5072.0,0.000986777185711496,True,up,10:10:00,True,10.0,-36.5,-0.00718433225076272,reversal,-0.005520504731861164,0.5925925925925926,WDO,M5,False,largo,medio,medio
2023-06-02,Friday,2023,108,5030.0,4985.0,5031.0,4972.0,59.0,-0.008946322067594381,17:55:00,5031.0,5016.0,15.0,0.002982107355864811,5030.0,5016.5,-0.0026838966202783476,True,down,09:15:00,True,5.0,31.0,0.006180223285486443,trend,-0.006279278381341569,0.2542372881355932,5031.0,5006.0,25.0,0.004970178926441352,5030.0,5014.0,-0.0031809145129224614,True,down,09:35:00,False,,21.0,0.004194966040751098,weak_trend,-0.0057838053450338656,0.423728813559322,5031.0,4985.0,46.0,0.009145129224652087,5030.0,4986.5,-0.008648111332007935,True,down,10:00:00,True,5.0,0.0,0.0,range,-0.0003008121929208851,0.7796610169491526,WDO,M5,False,medio,medio,largo
2023-06-05,Monday,2023,108,5000.0,4958.0,5001.0,4936.5,64.5,-0.008399999999999963,17:55:00,5001.0,4968.5,32.5,0.0065,5000.0,4971.0,-0.005800000000000027,True,down,09:15:00,True,20.0,10.5,0.0021133138774277953,weak_trend,-0.002615167974250654,0.5038759689922481,5001.0,4961.0,40.0,0.008,5000.0,4967.0,-0.00660000000000005,True,down,10:05:00,True,0.0,3.0,0.0006047167909695626,weak_trend,-0.0018119589289309346,0.6201550387596899,5001.0,4961.0,40.0,0.008,5000.0,4963.5,-0.007299999999999973,True,down,10:05:00,True,0.0,3.0,0.0006047167909695626,weak_trend,-0.0011080890500654306,0.6201550387596899,WDO,M5,False,largo,largo,largo
2023-06-06,Tuesday,2023,108,4956.5,4935.0,4979.0,4923.0,56.0,-0.004337738323413665,17:55:00,4957.5,4936.5,21.0,0.0042368606879854736,4956.5,4944.0,-0.0025219408857056758,True,up,09:20:00,True,0.0,-22.5,-0.0045385779122541605,reversal,-0.00182038834951459,0.375,4962.0,4936.5,25.5,0.0051447594068395035,4956.5,4961.0,0.0009078987188539944,True,up,09:30:00,True,20.0,-27.0,-0.005441354292623942,reversal,-0.0052408788550695196,0.45535714285714285,4971.5,4936.5,35.0,0.007061434479975789,4956.5,4968.0,0.002320185614849146,True,up,10:00:00,True,0.0,-36.5,-0.007341848536658956,reversal,-0.0066425120772947155,0.625,WDO,M5,False,largo,largo,largo
2023-06-07,Wednesday,2023,108,4930.0,4952.0,4954.5,4922.5,32.0,0.0044624746450303565,17:55:00,4941.5,4926.0,15.5,0.0031440162271805273,4930.0,4933.5,0.0007099391480729356,True,down,09:15:00,True,0.0,-26.0,-0.005278116118554608,reversal,0.0037498733150906904,0.484375,4946.5,4925.5,21.0,0.004259634888438134,4930.0,4944.5,0.002941176470588225,True,up,09:30:00,True,0.0,5.5,0.0011118973011220055,weak_trend,0.0015168368894731277,0.65625,4948.0,4925.5,22.5,0.004563894523326572,4930.0,4933.0,0.0006085192697768971,True,down,10:50:00,True,0.0,-26.5,-0.005380164450309613,reversal,0.0038516115953781682,0.703125,WDO,M5,False,medio,medio,estreito
2023-06-09,Friday,2023,108,4936.0,4898.0,4948.5,4875.5,73.0,-0.007698541329011377,17:55:00,4947.0,4933.5,13.5,0.002735008103727715,4936.0,4941.0,0.0010129659643436373,True,up,09:15:00,True,0.0,-49.0,-0.009904992925005053,reversal,-0.00870269176280103,0.18493150684931506,4948.5,4930.5,18.0,0.003646677471636953,4936.0,4930.5,-0.0011142625607779566,True,down,09:30:00,True,0.0,32.5,0.006591623567589494,trend,-0.006591623567589466,0.2465753424657534,4948.5,4924.5,24.0,0.004862236628849271,4936.0,4927.5,-0.0017220421393840946,True,down,10:00:00,True,0.0,26.5,0.005381256980404102,trend,-0.005986808726534787,0.3287671232876712,WDO,M5,False,estreito,medio,medio
2023-06-12,Monday,2023,108,4901.5,4881.0,4919.5,4880.5,39.0,-0.0041823931449556095,17:55:00,4905.0,4887.5,17.5,0.0035703356115474854,4901.5,4889.0,-0.0025502397225338758,True,down,09:15:00,True,0.0,6.5,0.001329923273657289,weak_trend,-0.0016363264471261907,0.44871794871794873,4908.5,4887.0,21.5,0.004386412322758339,4901.5,4907.0,0.0011221054779149142,True,down,10:25:00,True,0.0,6.0,0.0012277470841006752,weak_trend,-0.0052985530874261055,0.5512820512820513,4908.5,4887.0,21.5,0.004386412322758339,4901.5,4897.0,-0.000918086300112253,True,down,10:25:00,True,0.0,6.0,0.0012277470841006752,weak_trend,-0.0032673065141923807,0.5512820512820513,WDO,M5,False,medio,medio,estreito
2023-06-13,Tuesday,2023,108,4885.0,4880.0,4896.5,4865.0,31.5,-0.0010235414534288667,17:55:00,4886.5,4877.0,9.5,0.0019447287615148414,4885.0,4880.5,-0.0009211873080859911,True,both,09:15:00,True,0.0,,,ambiguous_both_break,-0.0001024485196189362,0.30158730158730157,4888.0,4875.5,12.5,0.00255885363357216,4885.0,4877.0,-0.0016376663254862311,True,down,09:30:00,True,75.0,-4.5,-0.0009229822582299251,range,0.0006151322534344583,0.3968253968253968,4888.0,4865.5,22.5,0.004605936540429887,4885.0,4865.5,-0.003991811668372591,True,down,10:00:00,True,0.0,-14.5,-0.0029801664782653377,range,0.002980166478265378,0.7142857142857143,WDO,M5,False,estreito,estreito,estreito
2023-06-14,Wednesday,2023,108,4875.0,4832.5,4883.0,4811.5,71.5,-0.008717948717948731,17:55:00,4878.5,4867.5,11.0,0.0022564102564102562,4875.0,4870.5,-0.0009230769230769154,True,down,09:15:00,True,0.0,35.0,0.007190549563430919,trend,-0.007802073709064827,0.15384615384615385,4878.5,4866.0,12.5,0.002564102564102564,4875.0,4870.5,-0.0009230769230769154,True,down,09:30:00,True,5.0,33.5,0.0068845047266748866,trend,-0.007802073709064827,0.17482517482517482,4878.5,4863.0,15.5,0.0031794871794871794,4875.0,4870.0,-0.0010256410256410664,True,down,10:45:00,True,10.0,30.5,0.006271848653094798,trend,-0.007700205338808996,0.21678321678321677,WDO,M5,False,estreito,estreito,estreito
2023-06-15,Thursday,2023,108,4840.0,4826.5,4858.5,4808.5,50.0,-0.0027892561983471342,17:55:00,4851.5,4833.5,18.0,0.00371900826446281,4840.0,4843.5,0.0007231404958678578,True,up,09:25:00,True,0.0,-25.0,-0.0051530454498608675,reversal,-0.0035098585733457366,0.36,4854.5,4833.5,21.0,0.0043388429752066115,4840.0,4848.5,0.001756198347107496,True,up,09:30:00,True,0.0,-28.0,-0.005767844268204758,reversal,-0.004537485820356846,0.42,4858.5,4833.5,25.0,0.005165289256198347,4840.0,4846.0,0.0012396694214875659,True,down,10:20:00,True,10.0,7.0,0.001448225923244026,weak_trend,-0.004023937267849775,0.5,WDO,M5,False,medio,medio,medio
2023-06-16,Friday,2023,108,4823.5,4829.5,4861.5,4819.5,42.0,0.001243910023841499,17:55:00,4835.0,4819.5,15.5,0.0032134342282574896,4823.5,4832.5,0.0018658650357623596,True,up,09:15:00,True,10.0,-5.5,-0.001137538779731127,range,-0.0006207966890843242,0.36904761904761907,4841.0,4819.5,21.5,0.004457344252099098,4823.5,4835.0,0.0023841608790298174,True,up,09:30:00,True,0.0,-11.5,-0.0023755422433381535,range,-0.0011375387797311065,0.5119047619047619,4847.5,4819.5,28.0,0.005804913444594174,4823.5,4842.5,0.003939048408831747,True,up,10:00:00,True,0.0,-18.0,-0.0037132542547705003,range,-0.0026845637583892135,0.6666666666666666,WDO,M5,False,medio,medio,medio
2023-06-19,Monday,2023,108,4835.0,4788.5,4842.0,4770.0,72.0,-0.00961737331954493,17:55:00,4842.0,4822.0,20.0,0.004136504653567736,4835.0,4823.5,-0.0023784901758014954,True,down,09:20:00,False,,33.5,0.006947324761509747,trend,-0.007256141805742744,0.2777777777777778,4842.0,4816.0,26.0,0.005377456049638056,4835.0,4817.5,-0.003619441571871773,True,down,09:30:00,False,,27.5,0.005710132890365449,trend,-0.006019719771665821,0.3611111111111111,4842.0,4803.0,39.0,0.008066184074457083,4835.0,4808.5,-0.005480868665977301,True,down,10:10:00,True,5.0,14.5,0.0030189464917759735,weak_trend,-0.004159301237392166,0.5416666666666666,WDO,M5,False,largo,largo,largo
2023-06-20,Tuesday,2023,108,4795.5,4799.5,4817.0,4783.0,34.0,0.0008341153164423964,17:55:00,4805.0,4792.0,13.0,0.002710874778438119,4795.5,4794.5,-0.0002085288291105991,True,down,09:15:00,True,35.0,-7.5,-0.0015651085141903172,range,0.0010428616122639678,0.38235294117647056,4805.0,4786.0,19.0,0.003962047753101866,4795.5,4789.0,-0.0013554373892190608,True,down,09:30:00,True,0.0,-13.5,-0.0028207271207689095,range,0.0021925245353935363,0.5588235294117647,4805.0,4783.0,22.0,0.00458763424043374,4795.5,4793.5,-0.0004170576582211982,True,up,10:40:00,True,0.0,-5.5,-0.0011446409989594173,range,0.0012516950036507435,0.6470588235294118,WDO,M5,False,estreito,medio,estreito
2023-06-21,Wednesday,2023,108,4800.0,4768.5,4823.0,4768.5,54.5,-0.006562500000000027,17:55:00,4803.0,4789.0,14.0,0.002916666666666667,4800.0,4794.5,-0.0011458333333332904,True,up,09:15:00,True,70.0,-34.5,-0.007183010618363523,reversal,-0.005422880383773032,0.25688073394495414,4819.0,4789.0,30.0,0.00625,4800.0,4816.5,0.0034374999999999822,True,up,09:30:00,True,5.0,-50.5,-0.010479352562772359,reversal,-0.009965742759264984,0.5504587155963303,4823.0,4789.0,34.0,0.007083333333333333,4800.0,4808.5,0.001770833333333277,True,down,11:00:00,True,0.0,20.5,0.004280643140530382,weak_trend,-0.00831860247478422,0.6238532110091743,WDO,M5,False,medio,largo,largo
2023-06-22,Thursday,2023,108,4773.0,4778.5,4795.0,4758.0,37.0,0.001152315105803492,17:55:00,4783.0,4767.5,15.5,0.0032474334799916195,4773.0,4776.0,0.0006285355122563896,True,down,09:25:00,True,0.0,-11.0,-0.0023072889355007864,range,0.0005234505862645733,0.4189189189189189,4783.0,4767.0,16.0,0.0033521893987010264,4773.0,4768.5,-0.0009428032683846954,True,down,09:30:00,True,30.0,-11.5,-0.0024124187119781834,range,0.002097095522701098,0.43243243243243246,4783.0,4758.0,25.0,0.005237795935470354,4773.0,4765.5,-0.001571338780641085,True,up,10:40:00,True,5.0,-4.5,-0.0009408321137361488,range,0.0027279404049942446,0.6756756756756757,WDO,M5,False,medio,estreito,medio
2023-06-23,Friday,2023,108,4795.5,4792.5,4812.5,4770.5,42.0,-0.0006255864873319084,17:55:00,4812.5,4795.5,17.0,0.0035449900948806173,4795.5,4810.0,0.0030236680221040757,True,down,09:55:00,True,15.0,3.0,0.0006255864873318737,weak_trend,-0.0036382536382536523,0.40476190476190477,4812.5,4795.5,17.0,0.0035449900948806173,4795.5,4798.0,0.0005213220727766643,True,down,09:55:00,True,15.0,3.0,0.0006255864873318737,weak_trend,-0.001146310962901187,0.40476190476190477,4812.5,4793.5,19.0,0.003962047753101866,4795.5,4794.0,-0.0003127932436659542,True,down,10:00:00,True,5.0,1.0,0.00020861583394179617,weak_trend,-0.0003128911138923218,0.4523809523809524,WDO,M5,False,medio,estreito,estreito
2023-06-26,Monday,2023,108,4785.0,4772.5,4786.5,4761.5,25.0,-0.0026123301985371272,17:55:00,4786.5,4778.5,8.0,0.001671891327063741,4785.0,4783.5,-0.00031347962382444194,True,down,09:15:00,True,0.0,6.0,0.0012556241498378152,weak_trend,-0.0022995714435036785,0.32,4786.5,4776.0,10.5,0.00219435736677116,4785.0,4779.5,-0.0011494252873562871,True,down,09:35:00,True,115.0,3.5,0.0007328308207705192,weak_trend,-0.0014645883460613351,0.42,4786.5,4766.5,20.0,0.0041797283176593526,4785.0,4767.0,-0.0037617554858934144,True,down,10:40:00,True,15.0,-6.0,-0.001258785272212315,range,0.0011537654709461442,0.8,WDO,M5,False,estreito,estreito,estreito
2023-06-27,Tuesday,2023,108,4771.0,4815.0,4818.0,4752.5,65.5,0.009222385244183506,17:55:00,4782.0,4764.0,18.0,0.0037727939635296584,4771.0,4765.5,-0.0011527981555229383,True,down,09:15:00,True,55.0,-51.0,-0.010705289672544081,reversal,0.010387157695939564,0.2748091603053435,4782.0,4754.0,28.0,0.005868790609935024,4771.0,4761.5,-0.0019911968140851055,True,down,09:35:00,True,0.0,-61.0,-0.012831299957930165,reversal,0.011235955056179803,0.42748091603053434,4782.0,4752.5,29.5,0.006183190106895829,4771.0,4759.0,-0.0025151959756863906,True,up,10:45:00,False,,33.0,0.006900878293601004,trend,0.011767177978566856,0.45038167938931295,WDO,M5,False,medio,largo,medio
2023-06-28,Wednesday,2023,108,4817.5,4853.5,4871.5,4811.0,60.5,0.007472755578619594,17:55:00,4844.5,4811.0,33.5,0.006953814218993254,4817.5,4844.0,0.005500778412039331,True,up,09:15:00,True,210.0,9.0,0.001857776860357106,weak_trend,0.001961189099917382,0.5537190082644629,4856.0,4811.0,45.0,0.00934094447327452,4817.5,4850.5,0.0068500259470680724,True,up,09:30:00,True,0.0,-2.5,-0.000514827018121911,range,0.0006184929388721727,0.743801652892562,4871.5,4811.0,60.5,0.012558380902957966,4817.5,4867.0,0.010275038920601887,False,,,,,,,range,-0.0027737826176289504,1.0,WDO,M5,False,largo,largo,largo
2023-06-29,Thursday,2023,108,4848.0,4862.0,4876.0,4831.0,45.0,0.0028877887788778533,17:55:00,4854.0,4831.0,23.0,0.004744224422442244,4848.0,4850.0,0.0004125412541253759,True,up,09:40:00,True,0.0,8.0,0.0016481252575195715,weak_trend,0.0024742268041237914,0.5111111111111111,4854.0,4831.0,23.0,0.004744224422442244,4848.0,4835.5,-0.0025783828382838214,True,up,09:40:00,True,0.0,8.0,0.0016481252575195715,weak_trend,0.005480301933616039,0.5111111111111111,4859.5,4831.0,28.5,0.005878712871287129,4848.0,4856.0,0.0016501650165017256,True,up,10:00:00,True,0.0,2.5,0.000514456219775697,weak_trend,0.0012355848434926209,0.6333333333333333,WDO,M5,False,largo,medio,medio
2023-06-30,Friday,2023,108,4886.0,4811.0,4895.5,4808.0,87.5,-0.015349979533360592,17:55:00,4895.5,4868.5,27.0,0.005525992632009824,4886.0,4869.0,-0.0034793286942284007,True,down,09:15:00,True,0.0,57.5,0.011810619287254801,trend,-0.011912096939823424,0.30857142857142855,4895.5,4861.5,34.0,0.006958657388456815,4886.0,4864.5,-0.004400327466230092,True,down,09:30:00,False,,50.5,0.010387740409338682,trend,-0.010998047075752915,0.38857142857142857,4895.5,4848.0,47.5,0.009721653704461727,4886.0,4852.5,-0.006856324191567786,True,down,10:05:00,True,0.0,37.0,0.007632013201320132,weak_trend,-0.00855229263266355,0.5428571428571428,WDO,M5,True,largo,largo,largo
2023-07-03,Monday,2023,108,4821.0,4832.5,4835.5,4783.5,52.0,0.00238539722049369,17:55:00,4821.0,4792.5,28.5,0.005911636589919104,4821.0,4796.5,-0.005081933208877842,True,down,09:15:00,True,0.0,-40.0,-0.008346374543557642,reversal,0.00750547274053992,0.5480769230769231,4821.0,4783.5,37.5,0.007778469197261979,4821.0,4793.5,-0.005704210744658766,True,up,13:20:00,True,0.0,11.5,0.0023853972204936737,weak_trend,0.008136017523729944,0.7211538461538461,4821.0,4783.5,37.5,0.007778469197261979,4821.0,4807.5,-0.002800248911014269,True,up,13:20:00,True,0.0,11.5,0.0023853972204936737,weak_trend,0.005200208008320439,0.7211538461538461,WDO,M5,False,largo,largo,largo
2023-07-04,Tuesday,2023,108,4823.0,4865.0,4873.5,4807.0,66.5,0.00870827285921627,17:55:00,4825.0,4816.0,9.0,0.0018660584698320546,4823.0,4824.0,0.0002073398299813345,True,down,09:20:00,True,0.0,-49.0,-0.010174418604651164,reversal,0.008499170812603651,0.13533834586466165,4825.0,4813.5,11.5,0.0023844080447854034,4823.0,4815.0,-0.001658718639850676,True,down,09:40:00,True,25.0,-51.5,-0.010699075516775736,reversal,0.010384215991692702,0.17293233082706766,4825.0,4807.0,18.0,0.0037321169396641093,4823.0,4812.0,-0.0022807381297946794,True,up,11:20:00,False,,40.0,0.008290155440414507,trend,0.011014131338320965,0.2706766917293233,WDO,M5,False,estreito,estreito,estreito
