date,year,ret_am_win,ret_pm_win,ret_day_win,z_ret_day_win,is_roll_win,missing_bar13_win,ret_am_wdo,ret_pm_wdo,ret_day_wdo,z_ret_day_wdo,is_roll_wdo,missing_bar13_wdo,div,combo_am,combo_day,excl_am_nan,excl_am_zero,excl_day_nan,excl_day_zero
2024-02-09,2024,-0.005909797822706064,0.0017209011264081031,-0.004199066874028046,-0.46707357892770573,False,False,-0.0048009601920384615,-0.002412060301507535,-0.007201440288057581,-1.2412682032504783,False,False,-1.7083417821781839,"(-,-)","(-,-)",False,False,False,False
2024-02-15,2024,0.0002703433360367047,0.003088803088802994,0.003359981462171202,0.3728490284883176,True,False,0.003927492447129977,-0.0008024877119069407,0.00312185297079548,0.5300341412324648,False,False,0.9028831697207824,"(+,+)","(+,+)",False,False,False,False
2024-02-16,2024,0.0033031187586418653,0.0016844039506929143,0.004993086495621357,0.5922930699568734,False,False,-0.001004823151125378,0.0006035003017501595,-0.000401929260450129,-0.0690302392944477,False,False,0.5232628306624256,"(+,-)","(+,-)",False,False,False,False
2024-02-19,2024,0.00019162227417313105,0.004176565254042419,0.004368987851147921,0.5240449486386698,False,False,-0.0014073180538801688,-0.0008053150795248598,-0.0022114997989545193,-0.37977796149120524,False,False,0.14426698714746455,"(+,-)","(+,-)",False,False,False,False
2024-02-20,2024,0.01069826297020593,0.0021245921541845902,0.012845584569960433,1.5374155563296636,False,False,-0.005837359098228689,-0.0018222312208948654,-0.007648953301127248,-1.3418958812037696,False,False,0.19551967512589408,"(+,-)","(+,-)",False,False,False,False
2024-02-21,2024,0.0007603406326033291,0.004748518462239781,0.005512469586374635,0.6512715536815648,False,False,0.0005066369439659102,0.00030382823577079776,0.0008106191103456339,0.14340062614133234,False,False,0.7946721798228971,"(+,+)","(+,+)",False,False,False,False
2024-02-22,2024,-0.007032719067318505,0.0003029958716811443,-0.006731854080481381,-0.7933230428703208,False,False,0.0036511156186611604,0.003233629749393785,0.006896551724137945,1.247940588137659,False,False,0.4546175452673382,"(-,+)","(-,+)",False,False,False,False
2024-02-23,2024,-0.006804778466656614,0.0011799634591960206,-0.005632844397399084,-0.6601778034587998,False,False,0.006246222043118976,0.001001201441729993,0.007253677211364051,1.298147819573262,False,False,0.6379700161144622,"(-,+)","(-,+)",False,False,False,False
2024-02-26,2024,-0.0012191869546995804,0.0016021361815754531,0.00038099592334361887,0.04473343163702844,False,False,-0.001203369434416346,0.0011044176706827002,-0.00010028078620138992,-0.017737268587021644,False,False,0.026996163050006797,"(-,-)","(+,-)",False,False,False,False
2024-02-27,2024,0.009215017064846398,0.0023296884981023336,0.011566173682214576,1.368278915401189,False,False,-0.006828680457923286,-0.002123356926188036,-0.008937537658164296,-1.5815115527141923,False,False,-0.21323263731300335,"(+,-)","(+,-)",False,False,False,False
