date,pos,ret,equity,window
2023-01-03,1,-0.0057106719423704305,1.134927653233056,CONFIRM
2023-01-04,1,-0.012687133365387208,1.1205286747364225,CONFIRM
2023-01-05,1,0.0082848777416584,1.1298121178126364,CONFIRM
2023-01-06,1,0.022008691370284578,1.1546778040199823,CONFIRM
2023-01-09,1,-0.0017850626490675521,1.152616631800319,CONFIRM
2023-01-10,1,0.011133119021413425,1.1654488499482127,CONFIRM
2023-01-11,1,0.007491113661281275,1.1741793597495842,CONFIRM
2023-01-12,1,0.012252435062803576,1.1885659161070001,CONFIRM
2023-01-13,1,0.005275576416697599,1.1948362864237048,CONFIRM
2023-01-16,1,0.0009400501799885234,1.1959594924898143,CONFIRM
2023-01-17,1,-0.0013876659630586415,1.1942999002088892,CONFIRM
2023-01-18,1,0.00607579323886673,1.2015562194677576,CONFIRM
2023-01-19,1,-0.023925029715568785,1.172808951212065,CONFIRM
2023-01-20,1,0.0033640127492483313,1.1767542954763748,CONFIRM
2023-01-23,1,0.0015650428564051037,1.178595966380254,CONFIRM
2023-01-24,1,0.004686625045912081,1.1841196037553028,CONFIRM
2023-01-25,1,0.012984824255304091,1.1994951887073257,CONFIRM
2023-01-26,1,0.0021167876752369048,1.2020342653392873,CONFIRM
2023-01-27,1,0.003945255005426614,1.2067765970413113,CONFIRM
2023-01-30,1,-0.003448042184466397,1.202615580427486,CONFIRM
2023-01-31,1,-0.0003332608701331048,1.2022147957127172,CONFIRM
2023-02-01,1,0.005668007635417723,1.2090289583542289,CONFIRM
2023-02-02,1,0.016491316689227403,1.228967437792895,CONFIRM
2023-02-03,1,-0.02230035409053968,1.20156102876437,CONFIRM
2023-02-06,1,-0.014039656541570049,1.1846915246067828,CONFIRM
2023-02-07,1,0.0016381226630671501,1.1866321946419847,CONFIRM
2023-02-08,1,-0.006271939621166038,1.1791897091646584,CONFIRM
2023-02-09,1,-0.005036850148177589,1.173250307303323,CONFIRM
2023-02-10,1,-0.0037088170515417167,1.16889893655787,CONFIRM
2023-02-13,1,0.013498870910087031,1.1846777524094025,CONFIRM
2023-02-14,1,0.006633043540183877,1.1925357715222211,CONFIRM
2023-02-15,1,-0.013964876890551507,1.1758821562853345,CONFIRM
2023-02-16,1,-0.003293266541889798,1.172009662922835,CONFIRM
2023-02-17,1,0.008334818351016545,1.1817781505689329,CONFIRM
2023-02-22,1,0.005746268740238066,1.1885689654134435,CONFIRM
2023-02-23,1,0.008056899995922824,1.198145146706037,CONFIRM
2023-02-24,1,-0.008656659661289727,1.1877732119461768,CONFIRM
2023-02-27,1,-0.002938292673106439,1.1842831866202033,CONFIRM
2023-02-28,1,-0.0019461551351732927,1.181978387815063,CONFIRM
2023-03-01,1,0.0004780587379655548,1.1825434429114443,CONFIRM
2023-03-02,1,0.00013277337537517965,1.1827004531958873,CONFIRM
2023-03-03,1,0.0011504753817431505,1.1840611209512655,CONFIRM
2023-03-06,1,0.0016123679403495532,1.1859702631421016,CONFIRM
2023-03-07,1,0.0016525115913371428,1.187930092748925,CONFIRM
2023-03-08,1,0.010228292607975505,1.2000805893353805,CONFIRM
2023-03-09,1,0.0009864684815419093,1.2012644310120701,CONFIRM
2023-03-10,1,-0.008808042141751486,1.1906836432803287,CONFIRM
2023-03-13,1,-0.010829121115630528,1.177789585896846,CONFIRM
2023-03-14,1,0.0010496338474094995,1.1790258337113297,CONFIRM
2023-03-15,1,-0.011497106971277619,1.1654704475792508,CONFIRM
2023-03-16,1,0.0020042905002120876,1.1678063889256116,CONFIRM
2023-03-17,1,0.004351517045376481,1.172888118332721,CONFIRM
2023-03-20,1,0.004348817046705729,1.1779887941756049,CONFIRM
2023-03-21,1,0.0007628137931608729,1.178887380275991,CONFIRM
2023-03-22,1,-0.0035654204657044313,1.1746841510835944,CONFIRM
2023-03-23,1,0.0006188716124743991,1.1754111297583236,CONFIRM
2023-03-24,1,-0.005175989641460181,1.1693272139262376,CONFIRM
2023-03-27,1,0.01193606202621242,1.1832843760805993,CONFIRM
2023-03-28,1,0.0112697326145029,1.1966196746059465,CONFIRM
2023-03-29,1,0.004954171580408869,1.2025479337904375,CONFIRM
2023-03-30,1,0.004956374000852111,1.2085082111042547,CONFIRM
2023-03-31,1,0.009094768982887054,1.21949931409817,CONFIRM
2023-04-03,1,0.0036021091755568963,1.2238920837670684,CONFIRM
2023-04-04,1,-0.002153584233642784,1.2212563290717875,CONFIRM
2023-04-05,1,0.006520395688997623,1.2292194035750283,CONFIRM
2023-04-06,1,-0.004363210665863896,1.223856060362663,CONFIRM
2023-04-10,1,-0.002664336293888429,1.2205952962425435,CONFIRM
2023-04-11,1,0.014203308878858985,1.2379317882511587,CONFIRM
2023-04-12,1,0.012922690656872656,1.2539291978050375,CONFIRM
2023-04-13,1,0.008376223906242682,1.2644323895284277,CONFIRM
2023-04-14,1,-0.006976721452279037,1.2556107969514483,CONFIRM
2023-04-17,1,0.001002460112015409,1.2568694966916079,CONFIRM
2023-04-18,1,-0.004885252099693064,1.250729372343855,CONFIRM
2023-04-19,1,-0.0155673154645152,1.2312588736438432,CONFIRM
2023-04-20,1,-0.0002794814261241325,1.2309147596579093,CONFIRM
2023-04-24,1,-0.0016257429181791001,1.2289136087045134,CONFIRM
2023-04-25,1,-4.079994918595852e-05,1.2288634690917244,CONFIRM
2023-04-26,1,0.0008681839836936782,1.229930348673736,CONFIRM
2023-04-27,1,0.008914353601000987,1.2408943827064163,CONFIRM
2023-04-28,1,0.0031664120939019786,1.2448235656870728,CONFIRM
2023-05-02,1,-0.006224118097274993,1.2370756368039655,CONFIRM
2023-05-03,1,0.0024407660891737366,1.2400950490680196,CONFIRM
2023-05-04,1,0.0027145751922117173,1.2434613803242043,CONFIRM
2023-05-05,1,0.008488165113686526,1.2540160858328888,CONFIRM
2023-05-08,1,0.00030551233757178544,1.2543992032186242,CONFIRM
