gate_diff,vol_filter,window,cost_bps_rt,n_obs,net_ann_pct,sharpe,maxdd_pct,pf,monthly_mean_pct,n_trades
>4pp,p75_252,real-check,1.5,863,-3.016444224877546,-0.18880866247332817,-21.48645860410978,0.7371020890769991,-0.20476759480744128,23
>4pp,p75_252,real-check,2.0,863,-3.0490367156196796,-0.19154642507190556,-21.512023003723147,0.7356729988235241,-0.20749340299865152,23
>4pp,none,DISCOVERY,1.0,4699,4.2826512512684545,0.3498658058920801,-50.336415092432986,inf,0.4709858462387038,1
>4pp,none,DISCOVERY,1.5,4699,4.2823690987424445,0.34984799915331866,-50.336415092433015,inf,0.47096357303744435,1
>4pp,none,DISCOVERY,2.0,4699,4.282086939861585,0.34983019145923105,-50.336415092433164,inf,0.47094129983618477,1
>4pp,none,CONFIRM,1.0,1492,0.0611332686348387,0.05564090378568099,-19.12336492893214,inf,0.04185434447144809,1
>4pp,none,CONFIRM,1.5,1492,0.06070290322108818,0.055597779680029116,-19.12336492893211,inf,0.041818894342318357,1
>4pp,none,CONFIRM,2.0,1492,0.060272528698934735,0.0555546556591837,-19.12336492893203,inf,0.04178344421318832,1
>4pp,none,real-check,1.0,863,-0.8360636193025739,0.01613226803981977,-21.647576756075757,0.0,0.0016112707217717593,1
>4pp,none,real-check,1.5,863,-0.836784768350185,0.01608253757375625,-21.647576756075757,0.0,0.0015506893085106977,1
>4pp,none,real-check,2.0,863,-0.8375059301137244,0.01603280684307724,-21.647576756075836,0.0,0.00149010789524805,1
>6pp,median252,DISCOVERY,1.0,4699,5.276844786565893,0.7006292168698259,-18.397253281601134,2.354734474122868,0.46222672732984144,80
>6pp,median252,DISCOVERY,1.5,4699,5.254266022018661,0.69786731138418,-18.499193365294285,2.350724997880077,0.4604718655605354,80
>6pp,median252,DISCOVERY,2.0,4699,5.231691535682725,0.6951048277668759,-18.60100864689712,2.346724314285622,0.45871707356741054,80
>6pp,median252,CONFIRM,1.0,1492,2.9015317727501877,0.5706234648388312,-10.24157499963011,2.6417888129656113,0.2459332747632759,20
>6pp,median252,CONFIRM,1.5,1492,2.884145534922422,0.5673924857853557,-10.29546102556862,2.6346036962836017,0.24454159053812438,20
>6pp,median252,CONFIRM,2.0,1492,2.866761799894868,0.5641608569363159,-10.349316048580015,2.6274412213299327,0.2431500312120769,20
>6pp,median252,real-check,1.0,863,5.682913149465496,0.771174012636341,-6.430739491467696,2.735143403508437,0.4683617652970452,20
>6pp,median252,real-check,1.5,863,5.652094496539295,0.767338704597344,-6.486848409462498,2.7277936097329984,0.46597814034688034,20
>6pp,median252,real-check,2.0,863,5.6212840615087245,0.7635020635973229,-6.542925082854733,2.7204690445544704,0.46359472904903803,20
>6pp,p75_252,DISCOVERY,1.0,4699,6.893629686859981,0.7150716087224591,-44.42359753308449,2.329997960513525,0.6089576536465653,76
>6pp,p75_252,DISCOVERY,1.5,4699,6.871857947497362,0.7130429637738962,-44.46955854381329,2.327454242036515,0.6072927742755712,76
>6pp,p75_252,DISCOVERY,2.0,4699,6.850090098591655,0.7110139509107387,-44.5154826962632,2.3249138290404803,0.6056279821075136,76
>6pp,p75_252,CONFIRM,1.0,1492,3.636684100496179,0.5521892972071081,-11.851043650770665,3.0459884033166236,0.3080625221964178,17
>6pp,p75_252,CONFIRM,1.5,1492,3.6218089702446887,0.5501092987572531,-11.859862191755866,3.0385228073447887,0.3068810215780135,17
>6pp,p75_252,CONFIRM,2.0,1492,3.606935603286998,0.5480288907994505,-11.868680071060489,3.0310835421617934,0.3056996623528205,17
>6pp,p75_252,real-check,1.0,863,5.336596568930085,0.5520351879969432,-13.947939523403463,2.486407946132973,0.4505603696485167,17
>6pp,p75_252,real-check,1.5,863,5.31044187416938,0.5496390280205661,-13.956563909735053,2.4803152466244214,0.4485372990820012,17
>6pp,p75_252,real-check,2.0,863,5.284293019538655,0.5472426422396277,-13.96518764778827,2.4742454987771922,0.4465144700265827,17
>6pp,none,DISCOVERY,1.0,4699,4.166183367990084,0.34894508553447,-50.33641509243303,10.700678036961262,0.4538600991196377,13
>6pp,none,DISCOVERY,1.5,4699,4.162549113446312,0.34871021575524985,-50.33641509243309,10.686997622399435,0.45357757306688595,13
>6pp,none,DISCOVERY,2.0,4699,4.1589148947556165,0.34847533308060563,-50.33641509243314,10.673346956508823,0.4532950692653248,13
>6pp,none,CONFIRM,1.0,1492,4.105853663915515,0.5190953847984736,-13.61684108615714,8.197329297182666,0.3577679089243161,2
>6pp,none,CONFIRM,1.5,1492,4.104525196451747,0.5189383870561998,-13.616841086157116,8.191367925084473,0.35766415795541157,2
>6pp,none,CONFIRM,2.0,1492,4.103196712482182,0.5187813705171338,-13.616841086157127,8.185413985942363,0.3575604069865071,2
>6pp,none,real-check,1.0,863,6.334520451194714,0.5525916062732987,-14.924022521497559,8.586832236003488,0.5527490759641651,2
>6pp,none,real-check,1.5,863,6.332185347570585,0.5524146504395593,-14.924022521497527,8.57928622056296,0.5525715112444657,2
>6pp,none,real-check,2.0,863,6.329850236686552,0.5522376768916473,-14.924022521497548,8.571751715834962,0.5523939465247669,2
>8pp,median252,DISCOVERY,1.0,4699,4.497722187502506,0.6299709219138391,-21.890315766369117,2.266155621815376,0.39928312650452447,66
>8pp,median252,DISCOVERY,1.5,4699,4.479233512509828,0.6275872731833693,-21.944963646033077,2.2626167978951415,0.39783457052605975,66
>8pp,median252,DISCOVERY,2.0,4699,4.460747646654295,0.6252031344334923,-21.999574657016886,2.2590851791500812,0.3963860669972301,66
>8pp,median252,CONFIRM,1.0,1492,0.3203680235719597,0.10663189765708138,-10.241574999630021,1.22160232806006,0.031052022506031077,13
>8pp,median252,CONFIRM,1.5,1492,0.3093432796085871,0.10358539164917553,-10.295461025568686,1.2184837057348739,0.030152218157287254,13
>8pp,median252,CONFIRM,2.0,1492,0.29831947131735426,0.10053918027251982,-10.349316048580059,1.215374310152681,0.02925247068929308,13
>8pp,median252,real-check,1.0,863,1.6162511862765738,0.3246862805400607,-6.435417954493106,1.5437987933449682,0.13800768090608553,13
>8pp,median252,real-check,1.5,863,1.5969655233520896,0.32115973353006355,-6.493861895831865,1.5401259888037087,0.13646131288760752,13
>8pp,median252,real-check,2.0,863,1.57768303858572,0.31763269986565307,-6.552270790346359,1.536464274964808,0.13491504266079948,13
>8pp,p75_252,DISCOVERY,1.0,4699,6.20549373953867,0.6722619029984712,-44.23684346383231,2.2184440510680203,0.5527084028378629,71
>8pp,p75_252,DISCOVERY,1.5,4699,6.1852834537412305,0.6702917468440199,-44.27457357068931,2.216124532075261,0.551152487569444,71
>8pp,p75_252,DISCOVERY,2.0,4699,6.165076508862244,0.6683212449792243,-44.312279093778294,2.2138078407832165,0.5495966572875463,71
>8pp,p75_252,CONFIRM,1.0,1492,1.3297200205497406,0.26507618736527283,-11.851043650770654,1.670795989988033,0.11720482606642552,17
>8pp,p75_252,CONFIRM,1.5,1492,1.3151755370313323,0.26249874090025566,-11.859862191755921,1.6664309348776438,0.11602368899347752,17
>8pp,p75_252,CONFIRM,2.0,1492,1.3006327776681426,0.2599209752589934,-11.868680071060433,1.6620805396629672,0.11484269331374056,17
>8pp,p75_252,real-check,1.0,863,1.5963299011884535,0.22770811911749883,-13.947939523403408,1.3998494310365792,0.14576821932067202,17
>8pp,p75_252,real-check,1.5,863,1.5710964817936102,0.2248030059753507,-13.956563909735086,1.3966075097734245,0.14374525291079512,17
>8pp,p75_252,real-check,2.0,863,1.5458686984719527,0.22189787665998803,-13.96518764778828,1.3933762074157638,0.14172252801201607,17
>8pp,none,DISCOVERY,1.0,4699,3.8559211529303195,0.3349862296529382,-46.171742620205144,146.44854980521424,0.4239755886280066,6
>8pp,none,DISCOVERY,1.5,4699,3.854246580036591,0.33487384613528914,-46.17444213678124,145.83817000641503,0.42384353086305615,6
>8pp,none,DISCOVERY,2.0,4699,3.852571992185516,0.33476145654949335,-46.17714158566484,145.23266072971595,0.4237114758340112,6
>8pp,none,CONFIRM,1.0,1492,2.47698205796556,0.37362437008264154,-13.616841086157072,inf,0.22125536939572774,1
>8pp,none,CONFIRM,1.5,1492,2.4761138563373697,0.3735059603566319,-13.61684108615714,inf,0.22118590448632008,1
>8pp,none,CONFIRM,2.0,1492,2.4752456402894474,0.3733875369244799,-13.616841086157116,inf,0.22111643957691274,1
>8pp,none,real-check,1.0,863,3.5382142852897758,0.37483315550777424,-14.924022521497593,inf,0.3242054680552978,1
>8pp,none,real-check,1.5,863,3.5366970758202942,0.3746967653078637,-14.924022521497504,inf,0.32408625120417106,1
>8pp,none,real-check,2.0,863,3.5351798505134813,0.37456036479450744,-14.924022521497593,inf,0.32396703435304514,1
