timeframe,split,subset,time_slot,mean_abs_ret_bps,n_bars
M15,CONFIRM,EDT,13:15,6.059725360336854,167
M15,CONFIRM,EDT,13:30,5.8101842506210994,167
M15,CONFIRM,EDT,13:45,6.878114523217757,167
M15,CONFIRM,EDT,14:00,7.360059335310432,167
M15,CONFIRM,EDT,14:15,8.106273149808308,167
M15,CONFIRM,EDT,14:30,6.617015801327572,167
M15,CONFIRM,EDT,14:45,6.753075642030864,167
M15,CONFIRM,EDT,15:00,7.165615170580001,167
M15,CONFIRM,EDT,15:15,7.011096543493273,167
M15,CONFIRM,EDT,15:30,7.220164139692301,167
M15,CONFIRM,EDT,15:45,6.2373985102609195,167
M15,CONFIRM,EDT,16:00,5.810737921411466,167
M15,CONFIRM,EDT,16:15,5.927517658095912,167
M15,CONFIRM,EDT,16:30,5.719304765618395,167
M15,CONFIRM,EDT,16:45,6.113606234301374,167
M15,CONFIRM,EDT,17:00,6.1413296160935404,167
M15,CONFIRM,EDT,17:15,4.808316214784654,167
M15,CONFIRM,EDT,17:30,3.850906903385921,167
M15,CONFIRM,EDT,17:45,3.9211999104226174,167
M15,CONFIRM,EDT,18:00,4.612074166758595,167
M15,CONFIRM,EDT,18:15,6.149725831110681,167
M15,CONFIRM,EST,09:15,10.61353072270027,83
M15,CONFIRM,EST,09:30,9.233843607566337,83
M15,CONFIRM,EST,09:45,8.229555388001023,83
M15,CONFIRM,EST,10:00,15.4326879643643,83
M15,CONFIRM,EST,10:15,14.110685179162715,83
M15,CONFIRM,EST,10:30,15.469713213501741,83
M15,CONFIRM,EST,10:45,11.99976750072947,83
M15,CONFIRM,EST,11:00,11.09585698670424,83
M15,CONFIRM,EST,11:15,11.214456392768925,83
M15,CONFIRM,EST,11:30,15.421082487196832,83
M15,CONFIRM,EST,11:45,11.752186280711392,83
M15,CONFIRM,EST,12:00,15.59241351524015,83
M15,CONFIRM,EST,12:15,8.61985823591689,83
M15,CONFIRM,EST,12:30,10.064603455213687,83
M15,CONFIRM,EST,12:45,8.704231553164762,83
M15,CONFIRM,EST,13:00,7.75218964409031,83
M15,CONFIRM,EST,13:15,7.88866561036731,83
M15,CONFIRM,EST,13:30,7.363140579245864,83
M15,CONFIRM,EST,13:45,9.769180648815754,83
M15,CONFIRM,EST,14:00,6.4365862020066675,83
M15,CONFIRM,EST,14:15,7.915422871117866,83
M15,CONFIRM,EST,14:30,7.499430999276598,83
M15,CONFIRM,EST,14:45,7.32350934626042,83
M15,CONFIRM,EST,15:00,7.439787303699578,83
M15,CONFIRM,EST,15:15,7.557166500931492,83
M15,CONFIRM,EST,15:30,7.315505202265149,83
M15,CONFIRM,EST,15:45,6.9879895882562515,83
M15,CONFIRM,EST,16:00,7.151078592813107,83
M15,CONFIRM,EST,16:15,6.508768463925488,83
M15,CONFIRM,EST,16:30,10.601013964724306,83
M15,CONFIRM,EST,16:45,8.056814942232993,83
M15,CONFIRM,EST,17:00,7.437493653726267,83
M15,CONFIRM,EST,17:15,7.306446972693077,83
M15,CONFIRM,EST,17:30,8.396782658938227,83
M15,CONFIRM,EST,17:45,8.554863229969984,83
M15,CONFIRM,EST,18:00,7.922106822596611,83
M15,CONFIRM,EST,18:15,7.566887659625204,83
M5,DISCOVERY_PARTIAL,ALL,09:05,11.673810797579582,257
M5,DISCOVERY_PARTIAL,ALL,09:10,7.758523003281691,257
M5,DISCOVERY_PARTIAL,ALL,09:15,7.770129866626882,257
M5,DISCOVERY_PARTIAL,ALL,09:20,7.046757820466524,257
M5,DISCOVERY_PARTIAL,ALL,09:25,6.6113569127598595,257
M5,DISCOVERY_PARTIAL,ALL,09:30,9.085974337217072,257
M5,DISCOVERY_PARTIAL,ALL,09:35,6.298246468375599,257
M5,DISCOVERY_PARTIAL,ALL,09:40,6.402898066695237,257
M5,DISCOVERY_PARTIAL,ALL,09:45,6.387312984278091,257
M5,DISCOVERY_PARTIAL,ALL,09:50,6.181763902286362,257
M5,DISCOVERY_PARTIAL,ALL,09:55,5.910245919231295,257
M5,DISCOVERY_PARTIAL,ALL,10:00,9.364767117645963,257
M5,DISCOVERY_PARTIAL,ALL,10:05,11.880246261730564,257
M5,DISCOVERY_PARTIAL,ALL,10:10,11.796581802225623,257
M5,DISCOVERY_PARTIAL,ALL,10:15,13.755967393844339,257
M5,DISCOVERY_PARTIAL,ALL,10:20,11.578653264133518,257
M5,DISCOVERY_PARTIAL,ALL,10:25,11.446712875732848,257
M5,DISCOVERY_PARTIAL,ALL,10:30,14.886930635209184,257
M5,DISCOVERY_PARTIAL,ALL,10:35,13.260372706830013,257
M5,DISCOVERY_PARTIAL,ALL,10:40,12.647088675143573,257
M5,DISCOVERY_PARTIAL,ALL,10:45,11.338413727332695,257
M5,DISCOVERY_PARTIAL,ALL,10:50,10.727051902879841,257
M5,DISCOVERY_PARTIAL,ALL,10:55,10.041833115984632,257
M5,DISCOVERY_PARTIAL,ALL,11:00,11.5919571364725,257
M5,DISCOVERY_PARTIAL,ALL,11:05,9.985671773844619,257
M5,DISCOVERY_PARTIAL,ALL,11:10,10.522292735524372,257
M5,DISCOVERY_PARTIAL,ALL,11:15,9.374559639479333,257
M5,DISCOVERY_PARTIAL,ALL,11:20,9.259269423537376,257
M5,DISCOVERY_PARTIAL,ALL,11:25,9.442862960720444,257
M5,DISCOVERY_PARTIAL,ALL,11:30,11.855674263613565,257
M5,DISCOVERY_PARTIAL,ALL,11:35,8.692491881456803,257
M5,DISCOVERY_PARTIAL,ALL,11:40,9.825752440622734,257
M5,DISCOVERY_PARTIAL,ALL,11:45,8.483918801682197,257
M5,DISCOVERY_PARTIAL,ALL,11:50,8.592132374380046,257
M5,DISCOVERY_PARTIAL,ALL,11:55,7.9608866815348005,257
M5,DISCOVERY_PARTIAL,ALL,12:00,8.836503181609665,257
M5,DISCOVERY_PARTIAL,ALL,12:05,8.07745783310311,257
M5,DISCOVERY_PARTIAL,ALL,12:10,8.10571306269221,257
M5,DISCOVERY_PARTIAL,ALL,12:15,7.197666796546638,257
M5,DISCOVERY_PARTIAL,ALL,12:20,7.50839653840713,257
M5,DISCOVERY_PARTIAL,ALL,12:25,7.052605472776423,257
M5,DISCOVERY_PARTIAL,ALL,12:30,7.0286880597946695,257
M5,DISCOVERY_PARTIAL,ALL,12:35,6.688215696292909,257
M5,DISCOVERY_PARTIAL,ALL,12:40,7.337221661621523,257
M5,DISCOVERY_PARTIAL,ALL,12:45,6.091903925499157,257
M5,DISCOVERY_PARTIAL,ALL,12:50,5.764188452035689,257
M5,DISCOVERY_PARTIAL,ALL,12:55,6.1540783993031685,257
M5,DISCOVERY_PARTIAL,ALL,13:00,5.86489655419321,257
M5,DISCOVERY_PARTIAL,ALL,13:05,5.858776810459834,257
M5,DISCOVERY_PARTIAL,ALL,13:10,5.7329040823260256,257
M5,DISCOVERY_PARTIAL,ALL,13:15,5.555579064663036,257
M5,DISCOVERY_PARTIAL,ALL,13:20,5.142540192200365,257
M5,DISCOVERY_PARTIAL,ALL,13:25,5.612899992217397,257
M5,DISCOVERY_PARTIAL,ALL,13:30,5.469207180119442,257
M5,DISCOVERY_PARTIAL,ALL,13:35,5.4044178761120865,257
M5,DISCOVERY_PARTIAL,ALL,13:40,5.257769097111491,257
M5,DISCOVERY_PARTIAL,ALL,13:45,6.041547259816587,257
M5,DISCOVERY_PARTIAL,ALL,13:50,5.347643368507569,257
M5,DISCOVERY_PARTIAL,ALL,13:55,5.591641437981295,257
M5,DISCOVERY_PARTIAL,ALL,14:00,6.1929046554581415,257
M5,DISCOVERY_PARTIAL,ALL,14:05,5.590427300289199,257
M5,DISCOVERY_PARTIAL,ALL,14:10,6.113290962733456,257
M5,DISCOVERY_PARTIAL,ALL,14:15,5.786729488723771,257
M5,DISCOVERY_PARTIAL,ALL,14:20,5.467989725780673,257
M5,DISCOVERY_PARTIAL,ALL,14:25,5.218944848882512,257
M5,DISCOVERY_PARTIAL,ALL,14:30,5.46001611858842,257
M5,DISCOVERY_PARTIAL,ALL,14:35,5.859210384864338,257
